cooccurrence_id	ayah_ref	left_word_id	right_word_id	left_root	right_root	word_distance	root_distance_min	root_distance_max	local_pair_count	corpus_window_count	corpus_pair_count	source_pair_id
co-24_0-00001	24:0	w-s024-a000-w002	w-s024-a000-w003	ء ل ه	ر ح م	1	1	2	2	130	254	intra_ayah:1:1:root:1
co-24_0-00002	24:0	w-s024-a000-w002	w-s024-a000-w004	ء ل ه	ر ح م	2	1	2	2	130	254	intra_ayah:1:1:root:1
co-24_0-00003	24:0	w-s024-a000-w002	w-s024-a000-w001	ء ل ه	س م و	1	1	1	1	185	319	intra_ayah:1:1:root:2
co-24_0-00004	24:0	w-s024-a000-w003	w-s024-a000-w001	ر ح م	س م و	2	2	3	2	18	21	intra_ayah:1:1:root:3
co-24_0-00005	24:0	w-s024-a000-w004	w-s024-a000-w001	ر ح م	س م و	3	2	3	2	18	21	intra_ayah:1:1:root:3
co-24_1-00006	24:1	w-s024-a001-w006	w-s024-a001-w007	ء ي ي	ب ي ن	1	1	1	1	61	71	intra_ayah:24:1:root:1
co-24_1-00007	24:1	w-s024-a001-w009	w-s024-a001-w001	ذ ك ر	س و ر	8	6	6	1	2	3	intra_ayah:24:1:root:10
co-24_1-00008	24:1	w-s024-a001-w009	w-s024-a001-w003	ذ ك ر	ف ر ض	6	4	4	1	2	2	intra_ayah:24:1:root:11
co-24_1-00009	24:1	w-s024-a001-w009	w-s024-a001-w002	ذ ك ر	ن ز ل	7	3	5	2	23	27	intra_ayah:24:1:root:12
co-24_1-00010	24:1	w-s024-a001-w009	w-s024-a001-w004	ذ ك ر	ن ز ل	5	3	5	2	23	27	intra_ayah:24:1:root:12
co-24_1-00011	24:1	w-s024-a001-w001	w-s024-a001-w003	س و ر	ف ر ض	2	2	2	1	1	1	intra_ayah:24:1:root:13
co-24_1-00012	24:1	w-s024-a001-w001	w-s024-a001-w002	س و ر	ن ز ل	1	1	3	2	7	11	intra_ayah:24:1:root:14
co-24_1-00013	24:1	w-s024-a001-w001	w-s024-a001-w004	س و ر	ن ز ل	3	1	3	2	7	11	intra_ayah:24:1:root:14
co-24_1-00014	24:1	w-s024-a001-w003	w-s024-a001-w002	ف ر ض	ن ز ل	1	1	1	2	1	2	intra_ayah:24:1:root:15
co-24_1-00015	24:1	w-s024-a001-w003	w-s024-a001-w004	ف ر ض	ن ز ل	1	1	1	2	1	2	intra_ayah:24:1:root:15
co-24_1-00016	24:1	w-s024-a001-w006	w-s024-a001-w009	ء ي ي	ذ ك ر	3	2	2	1	24	26	intra_ayah:24:1:root:2
co-24_1-00017	24:1	w-s024-a001-w006	w-s024-a001-w001	ء ي ي	س و ر	5	4	4	1	1	1	intra_ayah:24:1:root:3
co-24_1-00018	24:1	w-s024-a001-w006	w-s024-a001-w003	ء ي ي	ف ر ض	3	2	2	1	1	1	intra_ayah:24:1:root:4
co-24_1-00019	24:1	w-s024-a001-w006	w-s024-a001-w002	ء ي ي	ن ز ل	4	1	3	2	38	49	intra_ayah:24:1:root:5
co-24_1-00020	24:1	w-s024-a001-w006	w-s024-a001-w004	ء ي ي	ن ز ل	2	1	3	2	38	49	intra_ayah:24:1:root:5
co-24_1-00021	24:1	w-s024-a001-w007	w-s024-a001-w009	ب ي ن	ذ ك ر	2	1	1	1	18	23	intra_ayah:24:1:root:6
co-24_1-00022	24:1	w-s024-a001-w007	w-s024-a001-w001	ب ي ن	س و ر	6	5	5	1	2	2	intra_ayah:24:1:root:7
co-24_1-00023	24:1	w-s024-a001-w007	w-s024-a001-w003	ب ي ن	ف ر ض	4	3	3	1	4	7	intra_ayah:24:1:root:8
co-24_1-00024	24:1	w-s024-a001-w007	w-s024-a001-w002	ب ي ن	ن ز ل	5	2	4	2	42	62	intra_ayah:24:1:root:9
co-24_1-00025	24:1	w-s024-a001-w007	w-s024-a001-w004	ب ي ن	ن ز ل	3	2	4	2	42	62	intra_ayah:24:1:root:9
co-24_2-00026	24:2	w-s024-a002-w010	w-s024-a002-w021	ء خ ذ	ء خ ر	11	8	8	1	10	16	intra_ayah:24:2:root:1
co-24_2-00027	24:2	w-s024-a002-w010	w-s024-a002-w023	ء خ ذ	ع ذ ب	13	10	10	1	26	31	intra_ayah:24:2:root:10
co-24_2-00028	24:2	w-s024-a002-w024	w-s024-a002-w023	ط و ف	ع ذ ب	1	1	1	1	3	5	intra_ayah:24:2:root:100
co-24_2-00029	24:2	w-s024-a002-w024	w-s024-a002-w004	ط و ف	ك ل ل	20	15	15	1	3	4	intra_ayah:24:2:root:101
co-24_2-00030	24:2	w-s024-a002-w024	w-s024-a002-w017	ط و ف	ك و ن	7	7	7	1	15	29	intra_ayah:24:2:root:102
co-24_2-00031	24:2	w-s024-a002-w024	w-s024-a002-w007	ط و ف	م ء ي	17	13	13	1	1	1	intra_ayah:24:2:root:103
co-24_2-00032	24:2	w-s024-a002-w024	w-s024-a002-w005	ط و ف	و ح د	19	14	14	1	2	3	intra_ayah:24:2:root:104
co-24_2-00033	24:2	w-s024-a002-w024	w-s024-a002-w020	ط و ف	ي و م	4	4	4	1	1	1	intra_ayah:24:2:root:105
co-24_2-00034	24:2	w-s024-a002-w023	w-s024-a002-w004	ع ذ ب	ك ل ل	19	14	14	1	19	22	intra_ayah:24:2:root:106
co-24_2-00035	24:2	w-s024-a002-w023	w-s024-a002-w017	ع ذ ب	ك و ن	6	6	6	1	77	100	intra_ayah:24:2:root:107
co-24_2-00036	24:2	w-s024-a002-w023	w-s024-a002-w007	ع ذ ب	م ء ي	16	12	12	1	1	1	intra_ayah:24:2:root:108
co-24_2-00037	24:2	w-s024-a002-w023	w-s024-a002-w005	ع ذ ب	و ح د	18	13	13	1	4	4	intra_ayah:24:2:root:109
co-24_2-00038	24:2	w-s024-a002-w010	w-s024-a002-w004	ء خ ذ	ك ل ل	6	4	4	1	21	29	intra_ayah:24:2:root:11
co-24_2-00039	24:2	w-s024-a002-w023	w-s024-a002-w020	ع ذ ب	ي و م	3	3	3	1	48	56	intra_ayah:24:2:root:110
co-24_2-00040	24:2	w-s024-a002-w004	w-s024-a002-w017	ك ل ل	ك و ن	13	8	8	1	77	125	intra_ayah:24:2:root:111
co-24_2-00041	24:2	w-s024-a002-w004	w-s024-a002-w007	ك ل ل	م ء ي	3	2	2	1	3	4	intra_ayah:24:2:root:112
co-24_2-00042	24:2	w-s024-a002-w004	w-s024-a002-w005	ك ل ل	و ح د	1	1	1	1	7	9	intra_ayah:24:2:root:113
co-24_2-00043	24:2	w-s024-a002-w004	w-s024-a002-w020	ك ل ل	ي و م	16	11	11	1	31	38	intra_ayah:24:2:root:114
co-24_2-00044	24:2	w-s024-a002-w017	w-s024-a002-w007	ك و ن	م ء ي	10	6	6	1	3	9	intra_ayah:24:2:root:115
co-24_2-00045	24:2	w-s024-a002-w017	w-s024-a002-w005	ك و ن	و ح د	12	7	7	1	21	42	intra_ayah:24:2:root:116
co-24_2-00046	24:2	w-s024-a002-w017	w-s024-a002-w020	ك و ن	ي و م	3	3	3	1	92	120	intra_ayah:24:2:root:117
co-24_2-00047	24:2	w-s024-a002-w007	w-s024-a002-w005	م ء ي	و ح د	2	1	1	1	1	1	intra_ayah:24:2:root:118
co-24_2-00048	24:2	w-s024-a002-w007	w-s024-a002-w020	م ء ي	ي و م	13	9	9	1	2	5	intra_ayah:24:2:root:119
