policy	surah	top_k	branches	slm_edges	channels_total	stable	mixed	weak
k005	1	5	144	1681	8	6	2	0
k005	48	5	1461	35896	8	8	0	0
k005	100	5	169	2485	7	6	0	1
k005	103	5	77	504	2	2	0	0
k010	1	10	144	3146	8	6	2	0
k010	48	10	1461	70525	8	8	0	0
k010	100	10	169	4413	7	6	0	1
k010	103	10	77	968	2	2	0	0
k020	1	20	144	5381	8	6	2	0
k020	48	20	1461	140409	8	8	0	0
k020	100	20	169	6485	7	6	0	1
k020	103	20	77	1738	2	2	0	0
pct10	1	14	144	4172	8	6	2	0
pct10	48	146	1461	711279	8	8	0	0
pct10	100	16	169	5940	7	6	0	1
pct10	103	7	77	692	2	2	0	0
pct20	1	28	144	6460	8	6	2	0
pct20	48	292	1461	848047	8	8	0	0
pct20	100	33	169	6862	7	6	0	1
pct20	103	15	77	1353	2	2	0	0
