candidate_id	family_id	representative_candidate_id	membership
C012	F001	C012	representative
C040	F001	C012	variant
C082	F001	C012	variant
C086	F001	C012	variant
C087	F001	C012	variant
C043	F002	C043	representative
C047	F002	C043	variant
C102	F002	C043	variant
C060	F003	C063	variant
C063	F003	C063	representative
C088	F003	C063	variant
C100	F003	C063	variant
C022	F004	C054	variant
C032	F004	C054	variant
C054	F004	C054	representative
C056	F004	C054	variant
C083	F004	C054	variant
C098	F004	C054	variant
C115	F004	C054	variant
C030	F005	C055	variant
C033	F005	C055	variant
C038	F005	C055	variant
C039	F005	C055	variant
C055	F005	C055	representative
C071	F005	C055	variant
C079	F005	C055	variant
C003	F006	C003	representative
C008	F006	C003	variant
C018	F006	C003	variant
C026	F006	C003	variant
C042	F006	C003	variant
C044	F006	C003	variant
C061	F006	C003	variant
C070	F006	C003	variant
C084	F006	C003	variant
C101	F006	C003	variant
C049	F007	C049	representative
C004	F008	C004	representative
C031	F008	C004	variant
C110	F008	C004	variant
C111	F008	C004	variant
C007	F009	C025	variant
C010	F009	C025	variant
C014	F009	C025	variant
C025	F009	C025	representative
C045	F009	C025	variant
C048	F009	C025	variant
C050	F009	C025	variant
C053	F009	C025	variant
C069	F009	C025	variant
C078	F009	C025	variant
C081	F009	C025	variant
C099	F009	C025	variant
C104	F009	C025	variant
C112	F009	C025	variant
C051	F010	C065	variant
C065	F010	C065	representative
C072	F010	C065	variant
C074	F010	C065	variant
C080	F010	C065	variant
C090	F010	C065	variant
C106	F010	C065	variant
C117	F010	C065	variant
C001	F011	C005	variant
C002	F011	C005	variant
C005	F011	C005	representative
C015	F011	C005	variant
C016	F011	C005	variant
C020	F011	C005	variant
C023	F011	C005	variant
C036	F011	C005	variant
C057	F011	C005	variant
C058	F011	C005	variant
C062	F011	C005	variant
C064	F011	C005	variant
C067	F011	C005	variant
C068	F011	C005	variant
C091	F011	C005	variant
C093	F011	C005	variant
C105	F011	C005	variant
C109	F011	C005	variant
C113	F011	C005	variant
C114	F011	C005	variant
C118	F011	C005	variant
C009	F012	C019	variant
C019	F012	C019	representative
C034	F012	C019	variant
C041	F012	C019	variant
C046	F012	C019	variant
C052	F012	C019	variant
C059	F012	C019	variant
C066	F012	C019	variant
C073	F012	C019	variant
C075	F012	C019	variant
C077	F012	C019	variant
C092	F012	C019	variant
C094	F012	C019	variant
C095	F012	C019	variant
C097	F012	C019	variant
C103	F012	C019	variant
C107	F012	C019	variant
C006	F013	C006	representative
C011	F013	C006	variant
C013	F013	C006	variant
C017	F013	C006	variant
C021	F013	C006	variant
C024	F013	C006	variant
C027	F013	C006	variant
C028	F013	C006	variant
C029	F013	C006	variant
C035	F013	C006	variant
C037	F013	C006	variant
C076	F013	C006	variant
C085	F013	C006	variant
C089	F013	C006	variant
C096	F013	C006	variant
C108	F013	C006	variant
C116	F013	C006	variant
