left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C023	C057	0.617181	0.592695	0.536083	0.600089	1.0	0.70843	0.825228	mutual_knn
C004	C031	0.585253	0.581704	0.471729	0.553436	0.975384	0.670098	0.779803	mutual_knn
C028	C076	0.580888	0.528449	0.537081	0.636246	0.919145	0.708119	0.716049	mutual_knn
C012	C082	0.566618	0.497984	0.516744	0.633779	0.992243	0.681833	0.71617	mutual_knn
C005	C020	0.562334	0.524753	0.469635	0.590666	1.0	0.643242	0.689067	mutual_knn
C002	C023	0.558467	0.509225	0.504295	0.535518	0.990148	0.703666	0.694391	mutual_knn
C006	C028	0.55765	0.514973	0.504827	0.517014	0.970143	0.687864	0.764365	mutual_knn
C006	C017	0.550065	0.481504	0.534856	0.516734	0.971825	0.698357	0.684689	mutual_knn
C001	C002	0.545838	0.484149	0.476941	0.616669	0.990148	0.670962	0.748217	mutual_knn
C025	C045	0.54417	0.463666	0.508723	0.60621	0.990992	0.677944	0.657507	mutual_knn
C003	C042	0.536823	0.487009	0.49193	0.481785	0.97561	0.701282	0.690232	mutual_knn
C001	C023	0.536805	0.50744	0.443314	0.530325	0.970588	0.670962	0.748217	mutual_knn
C060	C063	0.536257	0.567725	0.407776	0.482271	0.818344	0.602473	0.809806	mutual_knn
C018	C084	0.535739	0.47172	0.495392	0.542026	0.970588	0.66532	0.702433	mutual_knn
C019	C095	0.530627	0.515234	0.404081	0.55302	0.964836	0.60118	0.742039	mutual_knn
C033	C055	0.526191	0.438745	0.481897	0.630657	0.991837	0.715867	0.650962	mutual_knn
C019	C073	0.499732	0.468661	0.404377	0.469213	0.971668	0.601088	0.645765	mutual_knn
C006	C076	0.493312	0.418887	0.470928	0.502352	0.923548	0.647755	0.690043	mutual_knn
C010	C025	0.491442	0.419567	0.401463	0.612569	0.99963	0.600593	0.646453	mutual_knn
C009	C092	0.48911	0.39681	0.488053	0.455671	0.987218	0.736602	0.589426	mutual_knn
C007	C010	0.488114	0.438887	0.411033	0.45907	0.994536	0.583006	0.673771	mutual_knn
C020	C036	0.481483	0.459061	0.371952	0.409533	0.994135	0.546458	0.709538	mutual_knn
C054	C115	0.479957	0.456568	0.362598	0.472257	0.956674	0.548925	0.630378	mutual_knn
C003	C018	0.47295	0.374774	0.427891	0.580961	0.990992	0.709285	0.692749	mutual_knn
C066	C095	0.467391	0.460362	0.323038	0.415763	0.987218	0.488614	0.655823	mutual_knn
C066	C073	0.46229	0.442133	0.351578	0.370259	0.987241	0.52028	0.634308	mutual_knn
C016	C036	0.460156	0.396651	0.36005	0.544023	0.994135	0.535082	0.621098	mutual_knn
C017	C037	0.456218	0.430282	0.432828	0.379819	0.732467	0.619376	0.661596	mutual_knn
C015	C032	0.454735	0.336755	0.401725	0.664003	0.994396	0.578651	0.509484	mutual_knn
C015	C105	0.453993	0.360458	0.400445	0.566163	0.970143	0.580147	0.56769	mutual_knn
C019	C066	0.448485	0.408151	0.305096	0.534416	0.994396	0.488041	0.607017	mutual_knn
C017	C028	0.448151	0.372813	0.412554	0.389831	0.989949	0.600098	0.577978	mutual_knn
C002	C057	0.448136	0.374153	0.377497	0.48796	0.990148	0.566475	0.585618	mutual_knn
C036	C091	0.446527	0.380275	0.370271	0.476312	0.976768	0.572957	0.601696	mutual_knn
C057	C058	0.442268	0.35402	0.380088	0.548104	0.964209	0.574819	0.604174	mutual_knn
C063	C088	0.438817	0.331444	0.396197	0.585996	0.956365	0.619361	0.564851	mutual_knn
C050	C069	0.438609	0.358796	0.331727	0.596923	1.0	0.51425	0.559909	mutual_knn
C007	C025	0.437958	0.372578	0.352561	0.466095	0.992915	0.546106	0.547858	mutual_knn
C005	C058	0.437429	0.336905	0.327436	0.715614	0.991837	0.499656	0.514442	mutual_knn
C012	C040	0.435128	0.333403	0.355738	0.622111	0.994937	0.535195	0.592181	mutual_knn
C091	C105	0.432428	0.323625	0.331719	0.710994	1.0	0.516445	0.522336	mutual_knn
C017	C076	0.431298	0.364211	0.403913	0.413605	0.866578	0.583288	0.589605	mutual_knn
C042	C084	0.430805	0.355569	0.359192	0.461633	0.990992	0.582186	0.638062	mutual_knn
C018	C070	0.430617	0.315838	0.409831	0.510244	0.987241	0.651137	0.562811	mutual_knn
C073	C092	0.430108	0.374838	0.346147	0.433052	0.955395	0.518476	0.5844	mutual_knn
C011	C085	0.429591	0.337248	0.331978	0.619596	0.994135	0.509838	0.523468	mutual_knn
C064	C067	0.429097	0.346178	0.345078	0.530308	0.994536	0.519814	0.547825	mutual_knn
C046	C062	0.422915	0.358679	0.317331	0.49361	0.990148	0.49423	0.568501	mutual_knn
C009	C073	0.421389	0.35654	0.342755	0.413168	0.989759	0.568178	0.585863	mutual_knn
C001	C057	0.421063	0.358499	0.321521	0.482976	0.970588	0.523103	0.656759	mutual_knn
C027	C063	0.419232	0.324393	0.360469	0.513335	0.97561	0.617722	0.728627	mutual_knn
C076	C089	0.418875	0.345322	0.308275	0.55129	0.986025	0.487053	0.575173	mutual_knn
C069	C099	0.418529	0.311098	0.36561	0.576607	0.956365	0.559782	0.534353	mutual_knn
C018	C042	0.417128	0.308415	0.356983	0.594046	0.964209	0.582186	0.638062	mutual_knn
C073	C095	0.415616	0.389038	0.253767	0.459916	0.989759	0.405069	0.603541	mutual_knn
C014	C045	0.415529	0.325515	0.32692	0.601072	0.945889	0.495594	0.506558	mutual_knn
C025	C050	0.41418	0.313888	0.336811	0.586313	0.97561	0.510434	0.485615	mutual_knn
C054	C098	0.413919	0.337379	0.324747	0.507459	0.970588	0.49145	0.599474	mutual_knn
C091	C114	0.412758	0.314538	0.31566	0.652524	0.955395	0.495605	0.526052	mutual_knn
C002	C031	0.412737	0.312039	0.30817	0.657936	0.984732	0.507554	0.638392	mutual_knn
C050	C081	0.412579	0.318893	0.343383	0.510183	0.990992	0.542307	0.495772	mutual_knn
C027	C028	0.411731	0.341328	0.314067	0.474581	0.993884	0.493648	0.537912	mutual_knn
C003	C070	0.411309	0.30984	0.345912	0.569129	0.957024	0.54034	0.507647	mutual_knn
C051	C106	0.407966	0.293966	0.379138	0.503918	0.968496	0.553984	0.473335	mutual_knn
C066	C092	0.40795	0.353907	0.331747	0.344142	0.970588	0.50231	0.541014	mutual_knn
C043	C102	0.407352	0.293019	0.372216	0.492292	0.999484	0.569321	0.471189	mutual_knn
C054	C056	0.406747	0.295514	0.318518	0.662853	0.971489	0.508287	0.532867	mutual_knn
C020	C091	0.40476	0.331033	0.301763	0.496993	0.990148	0.495578	0.512366	mutual_knn
C031	C111	0.40334	0.26852	0.350467	0.65693	0.982467	0.592871	0.434448	mutual_knn
C066	C094	0.403295	0.375469	0.277493	0.332976	0.990148	0.450313	0.583974	mutual_knn
C073	C094	0.403136	0.361251	0.2926	0.3824	0.964901	0.469251	0.588579	mutual_knn
C012	C086	0.402581	0.254123	0.395959	0.56769	0.99963	0.586207	0.479302	mutual_knn
C030	C039	0.402564	0.297	0.356086	0.483277	0.9891	0.55572	0.471994	mutual_knn
C013	C021	0.402267	0.264055	0.342659	0.680202	0.994221	0.510723	0.441241	mutual_knn
C016	C020	0.400961	0.34301	0.316178	0.346026	1.0	0.481772	0.525487	mutual_knn
C014	C025	0.399185	0.309541	0.32922	0.50678	0.949711	0.495594	0.506558	mutual_knn
C009	C094	0.398809	0.283035	0.313012	0.649147	0.984732	0.551954	0.443224	mutual_knn
C025	C081	0.398617	0.289771	0.341384	0.522171	0.990992	0.547354	0.453193	mutual_knn
C009	C095	0.398562	0.317405	0.264871	0.603978	1.0	0.465776	0.49733	mutual_knn
C078	C099	0.398082	0.303753	0.33767	0.506231	0.942809	0.506426	0.567276	mutual_knn
C009	C066	0.396593	0.330018	0.324186	0.356065	0.987218	0.544897	0.533421	mutual_knn
C006	C013	0.396314	0.31141	0.352169	0.367189	0.982397	0.540955	0.514429	mutual_knn
C094	C095	0.396189	0.366354	0.246964	0.404494	0.984732	0.410833	0.550865	mutual_knn
C002	C004	0.395189	0.329332	0.292099	0.460436	0.968496	0.465384	0.715224	mutual_knn
C014	C016	0.391962	0.279595	0.314368	0.598742	0.979796	0.479455	0.447584	mutual_knn
C021	C024	0.391575	0.303526	0.301843	0.512797	0.979796	0.474646	0.475743	mutual_knn
C006	C027	0.390982	0.290309	0.323963	0.49539	0.990992	0.518547	0.537912	mutual_knn
C015	C091	0.389737	0.313497	0.260412	0.578511	0.970143	0.422137	0.47866	mutual_knn
C004	C022	0.389685	0.317599	0.275971	0.512443	0.968496	0.465384	0.715224	mutual_knn
C065	C072	0.389238	0.330015	0.277908	0.418435	0.990148	0.504039	0.613582	mutual_knn
C038	C071	0.386934	0.258522	0.330609	0.608435	0.976467	0.525888	0.437013	mutual_knn
C043	C096	0.386493	0.293114	0.290245	0.593979	0.934646	0.496315	0.485012	mutual_knn
C030	C033	0.384058	0.254322	0.328504	0.621203	0.96225	0.515967	0.440519	mutual_knn
C007	C081	0.383966	0.286361	0.274035	0.608976	0.976768	0.441108	0.453193	mutual_knn
C039	C079	0.383646	0.257503	0.288206	0.690435	0.993884	0.449115	0.523038	mutual_knn
C069	C078	0.383429	0.254484	0.318379	0.614892	0.991837	0.503308	0.567276	mutual_knn
C007	C017	0.383287	0.265168	0.362837	0.49135	0.927173	0.534044	0.446063	mutual_knn
C088	C100	0.383033	0.305902	0.291438	0.436356	0.990148	0.524924	0.490653	mutual_knn
C067	C068	0.382006	0.284143	0.262919	0.628131	0.982456	0.439131	0.457772	mutual_knn
C005	C093	0.381655	0.265486	0.265423	0.701014	0.991837	0.451299	0.468183	mutual_knn
C008	C084	0.381632	0.27405	0.26414	0.663501	0.990148	0.422584	0.476207	mutual_knn
C098	C115	0.38109	0.306738	0.292045	0.402803	0.998268	0.465115	0.561383	mutual_knn
C036	C109	0.380566	0.297736	0.242781	0.616412	0.972229	0.401825	0.461477	mutual_knn
C009	C046	0.379381	0.27087	0.269729	0.645541	0.984732	0.503822	0.456718	mutual_knn
C015	C067	0.378916	0.275757	0.261347	0.633559	0.992781	0.416032	0.473769	mutual_knn
C008	C042	0.378563	0.285405	0.302126	0.46039	0.991837	0.505028	0.484068	mutual_knn
C022	C098	0.378286	0.268983	0.321255	0.48403	0.990148	0.50001	0.462606	mutual_knn
C040	C082	0.377781	0.249566	0.315488	0.603725	0.979796	0.488835	0.436478	mutual_knn
C004	C008	0.377584	0.249956	0.314532	0.613966	0.968496	0.536195	0.422995	mutual_knn
C010	C045	0.377462	0.251131	0.268442	0.721466	0.992171	0.441277	0.422282	mutual_knn
C036	C067	0.377423	0.32083	0.237427	0.457801	1.0	0.39957	0.488762	mutual_knn
C005	C036	0.375091	0.298669	0.255428	0.497152	0.994135	0.412763	0.519278	mutual_knn
C022	C031	0.374437	0.301487	0.290273	0.381382	0.984732	0.507554	0.638392	mutual_knn
C045	C053	0.373973	0.26854	0.270692	0.593961	0.990992	0.439048	0.489652	mutual_knn
C009	C019	0.372964	0.286854	0.276833	0.50004	0.964836	0.505861	0.503361	mutual_knn
C041	C107	0.372854	0.189486	0.394793	0.596729	1.0	0.567995	0.338376	mutual_knn
C027	C060	0.372361	0.293525	0.285221	0.476385	0.923936	0.49552	0.589403	mutual_knn
C014	C048	0.371369	0.273393	0.275892	0.539256	0.979796	0.440066	0.507415	mutual_knn
C039	C055	0.370516	0.259976	0.299055	0.508116	1.0	0.462655	0.432628	mutual_knn
C044	C070	0.370066	0.255283	0.294423	0.553735	0.987241	0.487542	0.480608	mutual_knn
C019	C094	0.36988	0.330939	0.24691	0.32358	0.979796	0.398723	0.558637	mutual_knn
C027	C076	0.368331	0.259177	0.327366	0.477301	0.928024	0.51638	0.419886	mutual_knn
C025	C048	0.367437	0.265931	0.319839	0.393361	0.991837	0.492938	0.537444	mutual_knn
C005	C016	0.366639	0.274484	0.317036	0.342863	1.0	0.483209	0.443614	mutual_knn
C011	C028	0.366353	0.28116	0.289672	0.433402	0.955318	0.452514	0.481981	mutual_knn
C063	C100	0.365396	0.283801	0.248934	0.503336	0.98482	0.422811	0.477359	mutual_knn
C028	C089	0.364289	0.259287	0.269729	0.565477	0.971797	0.433222	0.479529	mutual_knn
C046	C103	0.364077	0.303116	0.270315	0.31424	1.0	0.43446	0.47404	mutual_knn
C025	C069	0.363382	0.260391	0.289841	0.486734	0.97561	0.470109	0.430738	mutual_knn
C032	C054	0.361963	0.235535	0.28861	0.576125	1.0	0.44855	0.439742	mutual_knn
C092	C103	0.361729	0.303301	0.248029	0.366552	0.990148	0.408788	0.529421	mutual_knn
C059	C095	0.360307	0.243181	0.303548	0.477635	0.998891	0.471863	0.392887	mutual_knn
C016	C109	0.360122	0.248732	0.257959	0.591841	0.991837	0.426393	0.438317	mutual_knn
C010	C014	0.35979	0.235595	0.279633	0.623597	0.957427	0.45839	0.388715	mutual_knn
C060	C086	0.359258	0.287761	0.311674	0.400413	0.818344	0.51134	0.479157	mutual_knn
C007	C013	0.358918	0.233104	0.285588	0.618477	0.948417	0.461843	0.391407	mutual_knn
C030	C083	0.358682	0.228132	0.339142	0.466476	0.96225	0.521655	0.418597	mutual_knn
C007	C050	0.358565	0.263251	0.281064	0.453974	0.972229	0.453586	0.419732	mutual_knn
C024	C098	0.357919	0.224549	0.331479	0.471861	0.990148	0.498303	0.367178	mutual_knn
C002	C022	0.357795	0.252873	0.311976	0.377662	1.0	0.496497	0.41225	mutual_knn
C007	C021	0.356494	0.2364	0.278592	0.591846	0.955318	0.452715	0.389856	mutual_knn
C058	C093	0.356203	0.237459	0.226539	0.695119	1.0	0.392083	0.418845	mutual_knn
