rank	family_id	family_score	label_hint	structural_type	member_count	variant_count	ayah_count	root_count	branch_count	core_branch_count	ayahs	top_facets	representative_candidate_id
1	F001	0.6595	politics / alliance / welfare / aggression	distributed	5	4	11	20	39	14	1,2,3,4,5,6,7,8,9,10,11	kw:politics(157.6615); kw:alliance(107.5124); kw:welfare(92.636); kw:aggression(88.0164); kw:warfare(84.6956); kw:hostility(81.6489); kw:foe(77.0984); kw:complicity(77.0984)	C012
2	F002	0.618	burial / death / storage / solid	distributed	3	2	11	17	35	13	1,2,3,4,5,6,7,8,9,10,11	kw:burial(81.301); kw:death(78.3192); kw:storage(76.0564); kw:solid(71.5532); kw:fullness(70.6533); kw:stirring(61.531); kw:grave(60.4628); kw:concealment(54.629)	C043
3	F003	0.5872	running / locomotion / warfare / foe	distributed	4	3	11	16	32	5	1,2,3,4,5,6,7,8,9,10,11	kw:running(109.3428); kw:locomotion(95.3756); kw:warfare(84.6956); kw:foe(77.0984); kw:sweetness(55.4338); kw:carnivore(53.6649); kw:hyena(53.6649); kw:welfare(52.9348)	C063
4	F004	0.5866	selection / balance / benefit / excellence	distributed	7	6	10	21	53	8	1,2,3,4,5,6,7,8,9,11	kw:selection(248.2722); kw:balance(158.226); kw:benefit(138.5845); kw:excellence(133.857); kw:welfare(132.337); kw:repair(125.4); kw:virtue(124.722); kw:care(124.066)	C054
5	F005	0.5578	knowledge / epistemology / report / evidence	distributed	7	6	11	21	56	6	1,2,3,4,5,6,7,8,9,10,11	kw:knowledge(212.9159); kw:epistemology(166.3014); kw:report(145.718); kw:evidence(135.5015); kw:testimony(132.831); theme:cognition_perception/knowledge_learning(132.483); kw:result(100.6143); kw:awareness(89.9667)	C055
6	F006	0.5532	plant / ecology / agriculture / storage	distributed	10	9	11	22	65	6	1,2,3,4,5,6,7,8,9,10,11	kw:plant(251.1084); kw:ecology(225.082); kw:agriculture(172.5297); kw:storage(130.3823); kw:food(115.843); kw:overcast(115.6476); kw:livestock(104.85); kw:extraction(100.32)	C003
7	F007	0.5494	infection / aggregation / sweetness / presence	distributed	1	0	10	11	17	17	1,2,3,5,6,7,8,9,10,11	kw:infection(33.004); kw:aggregation(27.8525); kw:sweetness(27.7169); kw:presence(27.1003); kw:blood(24.9444); kw:fruit(23.2346); kw:community(22.4836); kw:ritual(19.5868)	C049
8	F008	0.5431	soil / fire / ecology / growth	distributed	4	3	11	18	37	6	1,2,3,4,5,6,7,8,9,10,11	kw:soil(126.1016); kw:fire(113.914); kw:ecology(92.079); kw:growth(63.2139); kw:combustion(57.5594); kw:farming(55.3908); kw:plant(50.2217); kw:date(49.8888)	C004
9	F009	0.538	division / aggregation / solid / top	distributed	14	13	11	23	76	4	1,2,3,4,5,6,7,8,9,10,11	kw:division(291.9328); kw:aggregation(250.6726); kw:solid(250.4362); kw:top(223.2018); kw:cutting(199.5552); kw:fire(193.6538); kw:knot(170.6772); kw:result(167.6905)	C025
10	F010	0.5178	animal_life/wildlife / honor / alliance / ornithology	distributed	8	7	11	23	66	6	1,2,3,4,5,6,7,8,9,10,11	theme:animal_life/wildlife(161.3198); kw:honor(137.6472); kw:alliance(134.3905); kw:ornithology(124.2476); kw:protectiveness(115.6476); kw:fire(102.5226); kw:cattle(91.4685); kw:protection(79.5816)	C065
11	F011	0.5018	water / surface / alliance / basin	distributed	21	20	11	23	115	3	1,2,3,4,5,6,7,8,9,10,11	kw:water(288.1065); kw:surface(246.9251); kw:alliance(215.0248); kw:basin(202.9264); theme:cognition_perception/reasoning_decision(202.6937); kw:aggregation(194.9676); kw:hydrology(193.7402); kw:top(193.4416)	C005
12	F012	0.4861	fire / light / spark / energy	distributed	17	16	11	21	86	4	1,2,3,4,5,6,7,8,9,10,11	kw:fire(922.7034); kw:light(525.8578); kw:spark(384.5684); kw:energy(328.4616); kw:color(327.7408); kw:drink(291.1416); kw:combustion(287.797); kw:morning(276.8646)	C019
13	F013	0.474	aggregation / result / gathering / community	distributed	17	16	11	23	90	2	1,2,3,4,5,6,7,8,9,10,11	kw:aggregation(459.5667); kw:result(335.381); kw:gathering(308.0836); kw:community(292.2868); theme:kinship_society/household_community(291.666); theme:kinship_society/social_relations(285.0902); kw:division(279.7688); kw:multitude(268.781)	C006
