left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C002	C006	0.505716	0.486264	0.383726	0.474662	1.0	0.584555	0.68968	mutual_knn
C008	C009	0.448209	0.368361	0.36309	0.551016	1.0	0.55793	0.581356	mutual_knn
C001	C005	0.36819	0.243367	0.274887	0.640403	1.0	0.447935	0.440361	mutual_knn
C005	C007	0.340767	0.198821	0.315856	0.465997	1.0	0.492746	0.347783	mutual_knn
C002	C009	0.322121	0.214141	0.1977	0.557403	1.0	0.369631	0.38437	mutual_knn
C006	C009	0.315769	0.226438	0.208567	0.399797	1.0	0.409522	0.425884	mutual_knn
C001	C004	0.29113	0.144447	0.222474	0.521642	1.0	0.368397	0.311843	mutual_knn
C002	C004	0.273147	0.097063	0.190893	0.673477	1.0	0.365341	0.223821	mutual_knn
C003	C007	0.271519	0.112723	0.230864	0.458985	1.0	0.382163	0.211387	mutual_knn
C002	C008	0.266521	0.163611	0.166734	0.346954	1.0	0.30471	0.283606	mutual_knn
C006	C008	0.261581	0.17336	0.176121	0.220648	1.0	0.337595	0.314236	mutual_knn
C003	C005	0.246068	0.081844	0.224925	0.376687	1.0	0.384192	0.152025	mutual_knn
C001	C007	0.242422	0.056409	0.137561	0.729493	1.0	0.244688	0.126608	mutual_knn
C004	C007	0.239084	0.073027	0.143822	0.594239	1.0	0.251583	0.141061	mutual_knn
C004	C005	0.235069	0.102113	0.110527	0.508545	1.0	0.204218	0.201681	mutual_knn
C001	C003	0.223917	0.027724	0.142357	0.673477	1.0	0.250948	0.061012	mutual_knn
C003	C009	0.211145	0.02121	0.104293	0.692526	1.0	0.19567	0.052173	mutual_knn
C002	C005	0.210134	0.040424	0.130224	0.508545	1.0	0.255337	0.108796	mutual_knn
C003	C004	0.205915	0.054198	0.113777	0.446823	1.0	0.208231	0.11134	mutual_knn
C004	C006	0.202304	0.071495	0.128448	0.280217	1.0	0.275148	0.179821	mutual_knn
