candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C001	0.8498	law_governance/authority_governance / office / governance / administration	18	8	9	14	0.06248842	0.4	1.0	0.8571	83,84,86,87,88,90,93,94,95,96,98,102,103,104,105,107,109,110	ء م ر ت ل و س ع ي ع م ل ق و ل ق و م ك ل ل و ل ي	theme:law_governance/authority_governance(79.6078); kw:office(47.0731); kw:governance(45.0396); kw:administration(43.1696); kw:leadership(38.7554); kw:care(37.2198); kw:guardianship(30.2314); kw:charge(27.8525)	ع م ل:B003:ولاية العمل والقيام عليه → س ع ي:B003:ولاية وسعاية على القوم
C002	0.8081	law_governance/authority_governance / leadership / office / governance	15	8	11	15	0.0628999	0.2885	1.0	0.8667	86,87,88,90,93,95,97,98,102,103,104,105,107,109,110	ء م ر ر ب ب س ع ي ط ل ع ع م ل ق و م ن ق ب و ل ي	theme:law_governance/authority_governance(94.7711); kw:leadership(51.6738); kw:office(47.0731); kw:governance(45.0396); kw:administration(43.1696); kw:taxation(30.4895); kw:guardianship(30.2314); kw:care(24.8132)	ع م ل:B003:ولاية العمل والقيام عليه → س ع ي:B003:ولاية وسعاية على القوم
C003	0.7932	space / station / hierarchy / proximity	19	10	12	17	0.05844034	0.2656	0.9412	0.7647	83,84,86,87,88,90,93,94,95,96,98,101,102,103,104,105,107,109,110	د ن و د و ن ع ن د ق و ل ق و م ك و ن م ك ن ن ز ل ن ف د و ل ي	kw:space(63.0631); kw:station(55.7051); kw:hierarchy(54.3259); kw:proximity(48.2109); kw:adjacency(47.0731); kw:relation(45.8825); theme:space_form_boundary/place_location(41.2172); kw:rank(38.6317)	ك و ن:B002:المكان والمكانة من الكون → م ك ن:B004:مكانة المرء وحاله
C004	0.7931	station / space_form_boundary/place_location / rank / habitation	16	8	12	18	0.05422359	0.2951	1.0	0.8333	84,86,87,90,93,95,97,98,101,102,105,106,107,108,109,110	ء خ ذ خ ل د ر ب ب ط و ع ق و م ك و ن م ك ن ن ز ل	kw:station(69.6314); theme:space_form_boundary/place_location(52.4583); kw:rank(38.6317); kw:habitation(37.0293); kw:capability(35.7766); kw:hierarchy(32.5956); kw:space(31.5315); kw:position(30.7655)	ك و ن:B002:المكان والمكانة من الكون → م ك ن:B004:مكانة المرء وحاله
C005	0.7843	law_governance/authority_governance / administration / governance / office	12	8	11	16	0.05959467	0.3137	1.0	0.8125	86,88,90,93,97,101,102,103,104,105,107,110	ء م ر ح س ب س ع ي ع م ل ع ي ن ق و م ن ق ب و ل ي	theme:law_governance/authority_governance(90.9803); kw:administration(71.9494); kw:governance(56.2995); kw:office(47.0731); kw:guardianship(45.3471); kw:leadership(38.7554); kw:care(37.2198); kw:circumstance(33.004)	ع م ل:B003:ولاية العمل والقيام عليه → س ع ي:B003:ولاية وسعاية على القوم
C006	0.7785	law_governance/authority_governance / office / governance / administration	23	12	17	29	0.05243055	0.2214	0.8966	0.7586	83,84,86,87,88,90,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,109,110	ء ت ي ء م ر ج م ع س ء ل س ع ي ش ي ء ط و ع ع م ل ق و ل ق و م ك ف ر و ل ي	theme:law_governance/authority_governance(79.6078); kw:office(47.0731); kw:governance(45.0396); kw:administration(43.1696); kw:leadership(38.7554); kw:consultation(32.5328); kw:guardianship(30.2314); kw:deliberation(29.1436)	ع م ل:B003:ولاية العمل والقيام عليه → س ع ي:B003:ولاية وسعاية على القوم
C007	0.7778	people / kinship_society/household_community / group / tribe	16	11	13	21	0.05261085	0.2763	1.0	0.7619	84,86,87,90,93,95,98,99,100,102,104,105,106,107,109,110	ت ر ك ج م ع ج ن ن ح ي ي ر ب ب ر س ل ق ب ل ق و م ك ف ر ك ل ل و ح د	kw:people(55.1716); theme:kinship_society/household_community(54.6873); kw:group(48.542); kw:tribe(47.5872); kw:demography(44.6404); kw:society(41.5571); kw:multitude(40.3171); kw:clan(39.4154)	ح ي ي:B010:الحي جماعة النسب والقبيلة → ق ب ل:B009:جماعة يقبل بعضها على بعض
C008	0.7756	land_water_sky/water_hydrology / hydrology / basin / reservoir	23	14	17	28	0.04810584	0.2105	1.0	0.75	83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,102,103,104,105,106,108,109,110	ء خ ذ ء ر ض ب ح ر ج ع ل ج ي ء خ ب ر خ ل د س ب ب س د د ص ن ع غ ر ب ق و ل ق و م م د د	theme:land_water_sky/water_hydrology(55.3976); kw:hydrology(53.8167); kw:basin(50.7316); kw:reservoir(44.9833); kw:pool(42.9143); kw:depression(40.8244); kw:irrigation(38.3916); kw:water(33.8949)	ب ح ر:B006:الأرض الجامعة للماء → س د د:B009:أودية الحجارة التي تمسك الماء
C009	0.7747	station / space_form_boundary/place_location / rank / habitation	18	11	13	19	0.05088919	0.25	0.9474	0.8421	83,84,86,87,90,93,95,96,98,100,101,102,104,105,107,108,109,110	ح س ب ح و ل خ ل د ذ ك ر ر ب ب ص د ف ع ر ض ق و م ك و ن م ك ن ن ز ل	kw:station(55.7051); theme:space_form_boundary/place_location(52.4583); kw:rank(38.6317); kw:habitation(37.0293); kw:reputation(36.1582); kw:honor(34.4119); kw:space(31.5315); kw:position(30.7655)	ك و ن:B002:المكان والمكانة من الكون → م ك ن:B004:مكانة المرء وحاله
C010	0.7718	proximity / relation / order / continuity	12	9	12	18	0.05603091	0.2857	1.0	0.8333	83,85,86,89,90,92,93,102,104,108,109,110	ت ب ع ت ل و ح و ل د ن و د و ن ش ر ك ع ن د ق ب ل و ل ي	kw:proximity(72.3164); kw:relation(57.3531); kw:order(51.5089); kw:continuity(50.1599); kw:adjacency(47.0731); kw:space(42.0421); theme:time_measure_quantity/sequence_cycle(38.7523); kw:succession(37.7243)	و ل ي:B002:تتابع شيء بعد شيء → ت ب ع:B004:الولاء والتتابع
