candidate_id	family_id	representative_candidate_id	membership
C160	F001	C160	representative
C293	F001	C160	variant
C424	F002	C537	variant
C528	F002	C537	variant
C537	F002	C537	representative
C023	F003	C023	representative
C028	F003	C023	variant
C189	F003	C023	variant
C098	F004	C098	representative
C263	F004	C098	variant
C327	F004	C098	variant
C065	F005	C204	variant
C072	F005	C204	variant
C204	F005	C204	representative
C261	F005	C204	variant
C499	F006	C499	representative
C529	F006	C499	variant
C003	F007	C050	variant
C010	F007	C050	variant
C050	F007	C050	representative
C088	F007	C050	member
C116	F007	C050	variant
C367	F007	C050	variant
C087	F008	C087	representative
C096	F008	C087	variant
C134	F008	C087	variant
C281	F008	C087	variant
C332	F008	C087	variant
C391	F008	C087	variant
C465	F008	C087	variant
C606	F008	C087	variant
C120	F009	C224	variant
C143	F009	C224	variant
C167	F009	C224	variant
C172	F009	C224	variant
C224	F009	C224	representative
C258	F009	C224	variant
C335	F009	C224	variant
C351	F009	C224	variant
C564	F009	C224	variant
C037	F010	C198	variant
C042	F010	C198	variant
C124	F010	C198	variant
C198	F010	C198	representative
C108	F011	C108	representative
C341	F011	C108	variant
C410	F011	C108	variant
C475	F011	C108	variant
C288	F012	C547	variant
C459	F012	C547	variant
C501	F012	C547	variant
C547	F012	C547	representative
C473	F013	C473	representative
C629	F013	C473	variant
C472	F014	C472	representative
C567	F014	C472	variant
C619	F014	C472	variant
C178	F015	C223	variant
C223	F015	C223	representative
C403	F015	C223	variant
C414	F015	C223	variant
C427	F015	C223	variant
C522	F015	C223	variant
C624	F015	C223	variant
C001	F016	C001	representative
C002	F016	C001	variant
C005	F016	C001	variant
C006	F016	C001	variant
C011	F016	C001	variant
C016	F016	C001	variant
C024	F016	C001	variant
C029	F016	C001	variant
C046	F016	C001	variant
C251	F016	C001	variant
C520	F016	C001	variant
C194	F017	C194	representative
C575	F017	C194	variant
C233	F018	C233	representative
C656	F018	C233	variant
C372	F019	C372	representative
C558	F019	C372	variant
C128	F020	C128	representative
C148	F020	C128	variant
C165	F020	C128	variant
C238	F020	C128	variant
C243	F020	C128	variant
C286	F020	C128	variant
C331	F020	C128	variant
C354	F020	C128	variant
C396	F020	C128	variant
C498	F020	C128	variant
C530	F020	C128	variant
C538	F020	C128	variant
C264	F021	C369	variant
C312	F021	C369	variant
C369	F021	C369	representative
C188	F022	C253	variant
C247	F022	C253	variant
C253	F022	C253	representative
C126	F023	C126	representative
C248	F023	C126	variant
C306	F023	C126	variant
C379	F024	C379	representative
C454	F024	C379	variant
C039	F025	C123	variant
C073	F025	C123	variant
C092	F025	C123	variant
C123	F025	C123	representative
C207	F025	C123	variant
C272	F025	C123	variant
C368	F025	C123	variant
C460	F025	C123	variant
C480	F025	C123	variant
C507	F025	C123	variant
C584	F025	C123	variant
C250	F026	C250	representative
C563	F026	C250	variant
C031	F027	C262	variant
C053	F027	C262	variant
C152	F027	C262	variant
C262	F027	C262	representative
C355	F027	C262	variant
C361	F027	C262	member
C404	F027	C262	variant
C574	F027	C262	variant
C211	F028	C211	representative
C328	F028	C211	variant
C080	F029	C319	variant
C185	F029	C319	variant
C273	F029	C319	variant
C319	F029	C319	representative
C490	F029	C319	variant
C022	F030	C022	representative
C141	F030	C022	variant
C333	F030	C022	variant
C589	F030	C022	variant
C644	F030	C022	variant
C222	F031	C497	variant
C406	F031	C497	variant
C469	F031	C497	variant
C497	F031	C497	representative
C510	F031	C497	variant
C590	F031	C497	variant
C018	F032	C057	variant
C043	F032	C057	variant
C057	F032	C057	representative
C083	F032	C057	variant
C095	F032	C057	variant
C646	F032	C057	variant
C084	F033	C084	representative
C265	F033	C084	variant
C594	F033	C084	variant
C402	F034	C559	variant
C550	F034	C559	variant
C559	F034	C559	representative
C032	F035	C038	variant
C038	F035	C038	representative
C081	F035	C038	variant
C131	F035	C038	variant
C181	F035	C038	variant
C199	F035	C038	variant
C234	F035	C038	variant
C257	F035	C038	variant
C382	F035	C038	variant
C121	F036	C125	variant
C125	F036	C125	representative
C249	F036	C125	variant
C313	F036	C125	variant
C323	F036	C125	variant
C390	F036	C125	variant
C489	F036	C125	variant
C553	F036	C125	variant
C569	F037	C601	variant
C601	F037	C601	representative
C639	F037	C601	variant
C362	F038	C362	representative
C615	F038	C362	variant
C069	F039	C069	representative
C142	F039	C069	variant
C315	F039	C069	variant
C394	F039	C069	variant
C549	F039	C069	variant
C657	F039	C069	variant
C008	F040	C030	variant
C030	F040	C030	representative
C051	F040	C030	variant
C063	F040	C030	variant
C075	F040	C030	variant
C139	F040	C030	variant
C145	F040	C030	variant
C156	F040	C030	variant
C195	F040	C030	variant
C232	F040	C030	variant
C269	F040	C030	variant
C326	F040	C030	variant
C345	F040	C030	variant
C371	F040	C030	variant
C415	F040	C030	variant
C444	F040	C030	variant
C448	F040	C030	variant
C481	F040	C030	variant
C487	F040	C030	variant
C614	F040	C030	variant
C004	F041	C004	representative
C009	F041	C004	variant
C054	F041	C004	variant
C100	F041	C004	variant
C103	F041	C004	variant
C122	F041	C004	variant
C130	F041	C004	variant
C175	F041	C004	variant
C241	F041	C004	variant
C349	F041	C004	variant
C486	F041	C004	variant
C578	F041	C004	variant
C076	F042	C076	representative
C577	F042	C076	variant
C044	F043	C044	representative
C299	F043	C044	variant
C364	F043	C044	variant
C421	F043	C044	variant
C425	F043	C044	variant
C545	F043	C044	variant
C090	F044	C218	variant
C197	F044	C218	variant
C210	F044	C218	variant
C218	F044	C218	representative
C254	F044	C218	variant
C256	F044	C218	variant
C287	F044	C218	variant
C290	F044	C218	variant
C384	F044	C218	variant
C408	F044	C218	variant
C504	F044	C218	variant
C405	F045	C405	representative
C573	F045	C405	variant
C214	F046	C214	representative
C278	F046	C214	variant
C302	F046	C214	variant
C543	F046	C214	variant
C271	F047	C271	representative
C298	F047	C271	variant
C074	F048	C154	variant
C154	F048	C154	representative
C174	F048	C154	variant
C285	F048	C154	variant
C027	F049	C027	representative
C033	F049	C027	variant
C066	F049	C027	variant
C070	F049	C027	variant
C082	F049	C027	variant
C106	F049	C027	variant
C113	F049	C027	variant
C132	F049	C027	variant
C153	F049	C027	variant
C280	F049	C027	variant
C311	F049	C027	variant
C346	F049	C027	variant
C352	F049	C027	variant
C358	F049	C027	variant
C378	F049	C027	variant
C321	F050	C321	representative
C526	F050	C321	variant
C007	F051	C026	variant
C014	F051	C026	variant
C026	F051	C026	representative
C079	F051	C026	variant
C089	F051	C026	variant
C177	F051	C026	variant
C205	F051	C026	variant
C374	F051	C026	variant
C445	F051	C026	variant
C523	F051	C026	variant
C527	F051	C026	variant
C660	F051	C026	variant
C019	F052	C064	variant
C064	F052	C064	representative
C086	F052	C064	variant
C099	F052	C064	variant
C219	F052	C064	variant
C297	F052	C064	variant
C373	F052	C064	variant
C572	F052	C064	variant
C246	F053	C246	representative
C595	F053	C246	variant
C068	F054	C502	variant
C314	F054	C502	variant
C340	F054	C502	variant
C359	F054	C502	variant
C386	F054	C502	variant
C416	F054	C502	variant
C440	F054	C502	variant
C457	F054	C502	variant
C462	F054	C502	variant
C502	F054	C502	representative
C533	F054	C502	variant
C570	F054	C502	variant
C571	F054	C502	variant
C622	F054	C502	variant
C144	F055	C144	representative
C242	F055	C144	variant
C324	F055	C144	variant
C363	F055	C144	variant
C673	F055	C144	variant
C021	F056	C021	representative
C091	F056	C021	variant
C056	F057	C284	variant
C129	F057	C284	variant
C159	F057	C284	member
C284	F057	C284	representative
C446	F057	C284	variant
C588	F057	C284	variant
