left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C050	C088	0.804131	1.0	0.573131	0.39216	0.929758	0.793012	1.0	mutual_knn
C262	C361	0.747633	0.852101	0.547029	0.629319	0.945417	0.729569	0.920145	mutual_knn
C100	C130	0.715932	0.788965	0.521394	0.686594	0.963724	0.706382	0.932957	mutual_knn
C016	C024	0.70279	0.709309	0.584906	0.755034	0.971605	0.762486	0.850404	mutual_knn
C002	C016	0.693226	0.787757	0.504399	0.519508	0.960769	0.762486	0.914482	mutual_knn
C134	C465	0.682128	0.829042	0.402358	0.510438	0.958562	0.627489	0.918243	mutual_knn
C269	C345	0.681787	0.736234	0.558288	0.566025	0.895809	0.748699	0.919277	mutual_knn
C159	C284	0.680796	0.795081	0.502293	0.417626	0.908048	0.70492	1.0	mutual_knn
C073	C123	0.669936	0.662905	0.568376	0.73378	0.945923	0.727758	0.800488	mutual_knn
C007	C205	0.669391	0.700042	0.551876	0.566251	0.971825	0.76632	0.844308	mutual_knn
C002	C024	0.668704	0.753338	0.483271	0.558233	0.912303	0.715218	0.914482	mutual_knn
C030	C063	0.653349	0.673963	0.515689	0.629629	0.986978	0.742064	0.895115	mutual_knn
C073	C480	0.65198	0.706961	0.532456	0.477885	0.909744	0.736064	0.852024	mutual_knn
C128	C498	0.648762	0.676978	0.526589	0.550828	0.97213	0.777194	0.858727	mutual_knn
C032	C038	0.64746	0.683728	0.531228	0.510456	0.951819	0.715614	0.812956	mutual_knn
C165	C243	0.646082	0.648914	0.550296	0.601111	0.964254	0.726361	0.815277	mutual_knn
C224	C351	0.645345	0.621702	0.575112	0.682025	0.937572	0.731839	0.789442	mutual_knn
C001	C016	0.642315	0.725956	0.474785	0.421272	0.947741	0.647137	0.907872	mutual_knn
C001	C002	0.638082	0.776347	0.394608	0.352027	0.96323	0.647137	0.907872	mutual_knn
C054	C130	0.636261	0.651053	0.510841	0.585129	0.989691	0.677945	0.810787	mutual_knn
C092	C368	0.635351	0.696013	0.448835	0.548344	0.9786	0.635369	0.952337	mutual_knn
C128	C331	0.630572	0.583689	0.567716	0.693115	0.991008	0.832881	0.814121	mutual_knn
C115	C206	0.629932	0.597646	0.56156	0.676238	0.950169	0.734979	0.813587	mutual_knn
C031	C262	0.626232	0.65259	0.472224	0.602251	0.980444	0.642537	0.920145	mutual_knn
C050	C116	0.624254	0.669469	0.49679	0.480167	0.924658	0.793012	1.0	mutual_knn
C031	C053	0.624007	0.620742	0.548907	0.549893	0.939751	0.72557	0.807465	mutual_knn
