candidate_id	family_id	representative_candidate_id	membership
C001	F001	C001	representative
C002	F001	C001	variant
C005	F001	C001	variant
C006	F001	C001	variant
C016	F001	C001	variant
C024	F001	C001	variant
C029	F001	C001	variant
C046	F001	C001	variant
C251	F001	C001	variant
C065	F002	C204	variant
C072	F002	C204	variant
C204	F002	C204	representative
C261	F002	C204	variant
C003	F003	C050	variant
C010	F003	C050	variant
C050	F003	C050	representative
C088	F003	C050	member
C116	F003	C050	variant
C367	F003	C050	variant
C039	F004	C123	variant
C073	F004	C123	variant
C092	F004	C123	variant
C123	F004	C123	representative
C207	F004	C123	variant
C272	F004	C123	variant
C368	F004	C123	variant
C460	F004	C123	variant
C480	F004	C123	variant
C507	F004	C123	variant
C087	F005	C087	representative
C096	F005	C087	variant
C134	F005	C087	variant
C281	F005	C087	variant
C332	F005	C087	variant
C391	F005	C087	variant
C465	F005	C087	variant
C579	F005	C087	variant
C004	F006	C004	representative
C009	F006	C004	variant
C054	F006	C004	variant
C100	F006	C004	variant
C103	F006	C004	variant
C122	F006	C004	variant
C130	F006	C004	variant
C175	F006	C004	variant
C241	F006	C004	variant
C349	F006	C004	variant
C108	F007	C108	representative
C341	F007	C108	variant
C410	F007	C108	variant
C475	F007	C108	variant
C288	F008	C547	variant
C419	F008	C547	variant
C459	F008	C547	variant
C501	F008	C547	variant
C547	F008	C547	representative
C194	F009	C194	representative
C575	F009	C194	variant
C128	F010	C128	representative
C148	F010	C128	variant
C165	F010	C128	variant
C238	F010	C128	variant
C243	F010	C128	variant
C286	F010	C128	variant
C331	F010	C128	variant
C354	F010	C128	variant
C396	F010	C128	variant
C498	F010	C128	variant
C530	F010	C128	variant
C538	F010	C128	variant
C074	F011	C154	variant
C154	F011	C154	representative
C174	F011	C154	variant
C285	F011	C154	variant
C032	F012	C038	variant
C038	F012	C038	representative
C081	F012	C038	variant
C131	F012	C038	variant
C181	F012	C038	variant
C199	F012	C038	variant
C234	F012	C038	variant
C257	F012	C038	variant
C382	F012	C038	variant
C008	F013	C030	variant
C030	F013	C030	representative
C051	F013	C030	variant
C063	F013	C030	variant
C075	F013	C030	variant
C139	F013	C030	variant
C145	F013	C030	variant
C195	F013	C030	variant
C232	F013	C030	variant
C269	F013	C030	variant
C326	F013	C030	variant
C345	F013	C030	variant
C371	F013	C030	variant
C415	F013	C030	variant
C448	F013	C030	variant
C481	F013	C030	variant
C487	F013	C030	variant
C614	F013	C030	variant
C120	F014	C224	variant
C143	F014	C224	variant
C167	F014	C224	variant
C172	F014	C224	variant
C224	F014	C224	representative
C258	F014	C224	variant
C335	F014	C224	variant
C351	F014	C224	variant
C493	F014	C224	variant
C564	F014	C224	variant
C098	F015	C263	variant
C263	F015	C263	representative
C309	F015	C263	variant
C327	F015	C263	variant
C458	F015	C263	variant
C018	F016	C057	variant
C043	F016	C057	variant
C057	F016	C057	representative
C083	F016	C057	variant
C095	F016	C057	variant
C646	F016	C057	variant
C192	F017	C316	variant
C209	F017	C316	variant
C231	F017	C316	variant
C316	F017	C316	representative
C357	F017	C316	variant
C439	F017	C316	variant
C464	F017	C316	variant
C583	F017	C316	variant
C671	F017	C316	variant
C068	F018	C502	variant
C314	F018	C502	variant
C359	F018	C502	variant
C386	F018	C502	variant
C416	F018	C502	variant
C440	F018	C502	variant
C457	F018	C502	variant
C462	F018	C502	variant
C502	F018	C502	representative
C533	F018	C502	variant
C571	F018	C502	variant
C622	F018	C502	variant
C407	F019	C635	variant
C617	F019	C635	variant
C635	F019	C635	representative
C651	F019	C635	member
C653	F019	C635	variant
C212	F020	C212	representative
C400	F020	C212	variant
C463	F020	C212	variant
C491	F020	C212	variant
C495	F020	C212	variant
C090	F021	C218	variant
C197	F021	C218	variant
C210	F021	C218	variant
C218	F021	C218	representative
C254	F021	C218	variant
C256	F021	C218	variant
C287	F021	C218	variant
C290	F021	C218	variant
C384	F021	C218	variant
C408	F021	C218	variant
C429	F021	C218	variant
C504	F021	C218	variant
C362	F022	C362	representative
C520	F022	C362	variant
C615	F022	C362	variant
C027	F023	C027	representative
C033	F023	C027	variant
C066	F023	C027	variant
C070	F023	C027	variant
C082	F023	C027	variant
C106	F023	C027	variant
C113	F023	C027	variant
C132	F023	C027	variant
C153	F023	C027	variant
C280	F023	C027	variant
C311	F023	C027	variant
C346	F023	C027	variant
C352	F023	C027	variant
C358	F023	C027	variant
C378	F023	C027	variant
C191	F024	C227	variant
C202	F024	C227	variant
C220	F024	C227	variant
C227	F024	C227	representative
C551	F024	C227	variant
C076	F025	C076	representative
C437	F025	C076	variant
C577	F025	C076	variant
C012	F026	C013	variant
C013	F026	C013	representative
C034	F026	C013	variant
C048	F026	C013	variant
C058	F026	C013	variant
C071	F026	C013	variant
C114	F026	C013	variant
C147	F026	C013	variant
C151	F026	C013	variant
C157	F026	C013	variant
C163	F026	C013	variant
C260	F026	C013	variant
C270	F026	C013	variant
C597	F026	C013	variant
C037	F027	C042	variant
C042	F027	C042	representative
C124	F027	C042	variant
C198	F027	C042	variant
