candidate_id	family_id	representative_candidate_id	membership
C1601	F001	C504	variant
C220	F001	C504	variant
C375	F001	C504	variant
C504	F001	C504	representative
C066	F002	C146	variant
C146	F002	C146	representative
C683	F002	C146	variant
C070	F003	C070	representative
C088	F003	C070	member
C097	F003	C070	variant
C172	F003	C070	variant
C186	F003	C070	variant
C611	F003	C070	variant
C015	F004	C048	variant
C017	F004	C048	variant
C030	F004	C048	variant
C048	F004	C048	representative
C049	F004	C048	variant
C077	F004	C048	variant
C275	F004	C048	variant
C471	F004	C048	variant
C627	F004	C048	variant
C1540	F005	C558	variant
C330	F005	C558	variant
C558	F005	C558	representative
C844	F005	C558	variant
C002	F006	C018	variant
C009	F006	C018	variant
C018	F006	C018	representative
C023	F006	C018	variant
C026	F006	C018	variant
C037	F006	C018	variant
C064	F006	C018	member
C094	F006	C018	variant
C416	F006	C018	member
C095	F007	C187	variant
C104	F007	C187	variant
C175	F007	C187	variant
C176	F007	C187	variant
C187	F007	C187	representative
C234	F007	C187	variant
C257	F007	C187	variant
C354	F007	C187	variant
C359	F007	C187	variant
C006	F008	C006	representative
C102	F008	C006	variant
C173	F008	C006	member
C194	F008	C006	variant
C003	F009	C003	representative
C007	F009	C003	member
C041	F009	C003	variant
C076	F009	C003	member
C108	F009	C003	variant
C162	F009	C003	variant
C487	F009	C003	variant
C983	F009	C003	variant
C011	F010	C011	representative
C1331	F010	C011	variant
C190	F010	C011	variant
C479	F010	C011	variant
C811	F010	C011	variant
C056	F011	C202	variant
C202	F011	C202	representative
C307	F011	C202	variant
C410	F011	C202	variant
C522	F011	C202	variant
C851	F011	C202	member
C453	F012	C470	variant
C470	F012	C470	representative
C483	F012	C470	variant
C673	F012	C470	variant
C888	F012	C470	variant
C212	F013	C212	representative
C341	F013	C212	variant
C423	F013	C212	variant
C452	F013	C212	variant
C570	F013	C212	variant
C575	F013	C212	variant
C945	F013	C212	variant
C085	F014	C085	representative
C135	F014	C085	variant
C148	F014	C085	variant
C205	F014	C085	variant
C296	F014	C085	variant
C368	F014	C085	variant
C615	F014	C085	variant
C060	F015	C060	representative
C1113	F015	C060	variant
C1354	F015	C060	variant
C1490	F015	C060	variant
C367	F015	C060	variant
C815	F015	C060	variant
C985	F015	C060	variant
C1274	F016	C428	variant
C132	F016	C428	variant
C428	F016	C428	representative
C589	F016	C428	variant
C657	F016	C428	variant
C668	F016	C428	variant
C045	F017	C045	representative
C136	F017	C045	variant
C306	F017	C045	variant
C331	F017	C045	variant
C379	F017	C045	variant
C455	F017	C045	variant
C893	F017	C045	variant
C907	F017	C045	variant
C918	F017	C045	variant
C069	F018	C069	representative
C1123	F018	C069	variant
C1261	F018	C069	variant
C891	F018	C069	variant
C019	F019	C067	variant
C067	F019	C067	representative
C201	F019	C067	variant
C472	F019	C067	variant
C767	F019	C067	variant
C099	F020	C099	representative
C1403	F020	C099	variant
C204	F020	C099	variant
C317	F020	C099	variant
C389	F020	C099	variant
C437	F020	C099	variant
C602	F020	C099	variant
C768	F020	C099	variant
C789	F020	C099	variant
C1098	F021	C159	variant
C159	F021	C159	representative
C174	F021	C159	variant
C599	F021	C159	variant
C647	F021	C159	variant
C761	F021	C159	variant
C955	F021	C159	variant
C1007	F022	C115	member
C1009	F022	C115	variant
C115	F022	C115	representative
C433	F022	C115	member
C597	F022	C115	variant
C801	F022	C115	variant
C912	F022	C115	member
C1017	F023	C1017	representative
C250	F023	C1017	variant
C925	F023	C1017	variant
C1068	F024	C1470	variant
C1470	F024	C1470	representative
C1633	F024	C1470	variant
C1707	F024	C1470	variant
C1416	F025	C1614	variant
C1464	F025	C1614	variant
C1614	F025	C1614	representative
C254	F026	C509	variant
C263	F026	C509	variant
C285	F026	C509	variant
C509	F026	C509	representative
C705	F026	C509	variant
C976	F026	C509	variant
C068	F027	C068	representative
C1088	F027	C068	variant
C1179	F027	C068	variant
C1285	F027	C068	variant
C879	F027	C068	variant
C137	F028	C294	variant
C1587	F028	C294	variant
C294	F028	C294	representative
C457	F028	C294	variant
C561	F028	C294	variant
C1437	F029	C1437	representative
C1597	F029	C1437	variant
C1644	F029	C1437	variant
C1715	F029	C1437	variant
C1757	F029	C1437	variant
C1774	F029	C1437	variant
C247	F029	C1437	variant
C369	F029	C1437	variant
C436	F029	C1437	variant
C1003	F030	C1064	variant
C1064	F030	C1064	representative
C1292	F030	C1064	variant
C1409	F030	C1064	variant
C1634	F030	C1064	variant
C720	F030	C1064	variant
C916	F030	C1064	variant
C241	F031	C241	representative
C288	F031	C241	variant
C376	F031	C241	variant
C802	F031	C241	variant
C025	F032	C101	variant
C101	F032	C101	representative
C1426	F032	C101	member
C177	F032	C101	variant
C442	F032	C101	variant
C967	F032	C101	variant
C1390	F033	C617	variant
C617	F033	C617	representative
C198	F034	C495	variant
C325	F034	C495	variant
C495	F034	C495	representative
C107	F035	C290	variant
C1242	F035	C290	variant
C1317	F035	C290	variant
C1378	F035	C290	variant
C1430	F035	C290	variant
C1575	F035	C290	variant
C185	F035	C290	variant
C290	F035	C290	representative
C327	F035	C290	variant
C565	F035	C290	variant
C572	F035	C290	variant
C582	F035	C290	variant
C834	F035	C290	variant
C010	F036	C010	representative
C1016	F036	C010	variant
C276	F036	C010	variant
C300	F036	C010	variant
C664	F036	C010	variant
C1134	F037	C412	variant
C1284	F037	C412	variant
C412	F037	C412	representative
C864	F037	C412	variant
C865	F037	C412	variant
C028	F038	C028	representative
C032	F038	C028	variant
C053	F038	C028	variant
C120	F038	C028	variant
C1427	F038	C028	variant
C196	F038	C028	variant
C699	F038	C028	variant
C922	F038	C028	variant
C958	F038	C028	variant
C1448	F039	C777	variant
C1723	F039	C777	variant
C777	F039	C777	representative
C1143	F040	C310	variant
C310	F040	C310	representative
C357	F040	C310	variant
C724	F040	C310	variant
C100	F041	C305	variant
C1146	F041	C305	variant
C1183	F041	C305	member
C1245	F041	C305	variant
C1272	F041	C305	variant
C1497	F041	C305	variant
C305	F041	C305	representative
C490	F041	C305	variant
C531	F041	C305	variant
C535	F041	C305	variant
C580	F041	C305	variant
C709	F041	C305	variant
C840	F041	C305	variant
C848	F041	C305	variant
C110	F042	C674	variant
C1420	F042	C674	variant
C1629	F042	C674	variant
C498	F042	C674	variant
C629	F042	C674	variant
C674	F042	C674	representative
C1032	F043	C972	variant
C1138	F043	C972	variant
