left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C001	C005	0.797737	0.871503	0.566972	0.928973	0.989967	0.747964	1.0	mutual_knn
C202	C851	0.788538	0.933277	0.563525	0.650864	0.877551	0.777168	1.0	mutual_knn
C006	C102	0.740909	0.787004	0.590534	0.737527	0.96494	0.833364	0.896767	mutual_knn
C003	C007	0.740021	0.78019	0.553903	0.849094	0.988456	0.717644	0.908397	mutual_knn
C082	C130	0.735838	0.80296	0.515936	0.844731	0.951044	0.702187	1.0	mutual_knn
C253	C548	0.73152	0.78532	0.537447	0.796582	0.979676	0.700412	0.879753	mutual_knn
C046	C336	0.71994	0.761531	0.55865	0.752083	0.963705	0.756638	0.903661	mutual_knn
C058	C1145	0.716817	0.780027	0.525155	0.767871	0.924693	0.794706	0.914732	mutual_knn
C004	C005	0.713949	0.742471	0.558146	0.775501	0.977193	0.807514	0.934479	mutual_knn
C007	C041	0.713644	0.779363	0.493342	0.788818	0.970781	0.708255	0.908397	mutual_knn
C298	C398	0.701969	0.809699	0.4978	0.542823	0.934965	0.666785	0.924697	mutual_knn
C1142	C861	0.699328	0.825233	0.526083	0.532113	0.756757	0.711194	1.0	mutual_knn
C082	C237	0.698679	0.738586	0.553935	0.694189	0.937865	0.822494	1.0	mutual_knn
C042	C072	0.697136	0.723366	0.584238	0.64703	0.954786	0.77491	0.903708	mutual_knn
C390	C989	0.696511	0.726401	0.568081	0.703954	0.924911	0.748539	0.886725	mutual_knn
C018	C064	0.695566	0.756159	0.472361	0.775294	0.982492	0.657665	0.871025	mutual_knn
C070	C172	0.69502	0.786719	0.588329	0.513067	0.738549	0.741356	0.950697	mutual_knn
C336	C378	0.693315	0.726297	0.568161	0.690333	0.906845	0.776463	1.0	mutual_knn
C003	C041	0.691604	0.733591	0.497879	0.778033	0.976408	0.717644	0.846813	mutual_knn
C696	C762	0.68766	0.79548	0.517041	0.510017	0.838056	0.691267	1.0	mutual_knn
C526	C660	0.685007	0.784041	0.530728	0.504346	0.833333	0.702492	0.885631	mutual_knn
C421	C946	0.684933	0.825078	0.558915	0.336139	0.711057	0.719644	1.0	mutual_knn
C196	C699	0.683715	0.738114	0.513523	0.661111	0.944904	0.749838	0.889806	mutual_knn
C1396	C1624	0.683216	0.741375	0.599922	0.510435	0.815085	0.771361	0.85718	mutual_knn
C001	C004	0.681686	0.730462	0.470238	0.777601	0.976241	0.747964	1.0	mutual_knn
C050	C118	0.678027	0.639474	0.56868	0.886706	0.990155	0.743644	0.793169	mutual_knn
C017	C048	0.677419	0.793502	0.434046	0.653431	0.851103	0.633741	0.918613	mutual_knn
C1290	C230	0.676097	0.697879	0.567521	0.667158	0.90185	0.833318	0.854101	mutual_knn
C486	C937	0.674329	0.695276	0.549994	0.671077	0.94585	0.785614	0.893992	mutual_knn
C009	C018	0.673571	0.650441	0.55306	0.832843	0.991482	0.720532	0.845194	mutual_knn
C1077	C989	0.671368	0.737099	0.508765	0.619018	0.882869	0.704732	0.891922	mutual_knn
C1248	C526	0.670374	0.788984	0.512964	0.462253	0.757677	0.707511	0.891214	mutual_knn
C004	C051	0.66889	0.664427	0.565739	0.721173	0.948367	0.727585	0.875908	mutual_knn
C028	C053	0.668822	0.686136	0.551705	0.63921	0.963209	0.720902	0.831278	mutual_knn
