left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0245	P0546	0.654611	0.579696	0.58374	0.894392	1.0	0.777778	0.75	mutual_knn
P0211	P0551	0.651508	0.562294	0.595517	0.90045	1.0	0.777778	0.75	mutual_knn
P0398	P0652	0.648463	0.551183	0.596583	0.916267	1.0	0.777778	0.75	mutual_knn
P0284	P0748	0.648444	0.580884	0.593264	0.894042	0.9	0.777778	0.75	mutual_knn
P0244	P0636	0.648018	0.599238	0.627001	0.589108	1.0	0.777778	0.75	mutual_knn
P0093	P0652	0.645868	0.547017	0.597084	0.907307	1.0	0.777778	0.75	mutual_knn
P1210	P1515	0.645013	0.578697	0.624863	0.825632	0.833333	0.8	0.75	mutual_knn
P0866	P1562	0.644139	0.596705	0.604348	0.783857	0.857143	0.833333	0.8	mutual_knn
P0326	P0645	0.643539	0.571227	0.594158	0.785317	1.0	0.777778	0.75	mutual_knn
P0374	P0726	0.642434	0.537666	0.601782	0.89861	1.0	0.777778	0.75	mutual_knn
P0402	P0589	0.642432	0.573335	0.591412	0.885483	0.888889	0.777778	0.75	mutual_knn
P0065	P0150	0.639396	0.538652	0.562863	1.0	1.0	0.7	0.666667	mutual_knn
P0052	P0403	0.638988	0.565177	0.584317	0.892383	0.909091	0.777778	0.75	mutual_knn
P1627	P2256	0.638682	0.554495	0.592075	0.819333	1.0	0.8	0.75	mutual_knn
P0038	P0228	0.638154	0.545871	0.550034	1.0	1.0	0.7	0.666667	mutual_knn
P1919	P2191	0.637986	0.573558	0.613309	0.818928	0.833333	0.8	0.75	mutual_knn
P0060	P0664	0.637521	0.538416	0.574354	0.942101	1.0	0.777778	0.75	mutual_knn
P1328	P1397	0.635979	0.544581	0.596135	0.822698	1.0	0.8	0.75	mutual_knn
P0051	P0562	0.635488	0.573101	0.626191	0.695364	0.888889	0.777778	0.75	mutual_knn
P0346	P0791	0.635427	0.576039	0.607235	0.736771	0.9	0.777778	0.75	mutual_knn
P0129	P0523	0.635143	0.596329	0.589486	0.69566	0.909091	0.777778	0.75	mutual_knn
P0336	P0652	0.63396	0.534137	0.577063	0.916267	1.0	0.777778	0.75	mutual_knn
P1489	P1831	0.633458	0.541365	0.59229	0.825426	1.0	0.8	0.75	mutual_knn
P0144	P0559	0.63326	0.602803	0.604692	0.703562	0.8	0.777778	0.75	mutual_knn
P0323	P0746	0.631936	0.587821	0.61151	0.533884	1.0	0.777778	0.75	mutual_knn
P0089	P0428	0.631593	0.5744	0.610316	0.706134	0.888889	0.777778	0.75	mutual_knn
P1691	P1918	0.630856	0.542745	0.585813	0.815863	1.0	0.8	0.75	mutual_knn
P0088	P0491	0.630486	0.558303	0.578622	0.878435	0.888889	0.777778	0.75	mutual_knn
P0284	P0697	0.629992	0.549898	0.580383	0.894042	0.9	0.777778	0.75	mutual_knn
P0186	P0589	0.629983	0.556606	0.575032	0.893605	0.888889	0.777778	0.75	mutual_knn
P1130	P1815	0.629407	0.54068	0.582935	0.820735	1.0	0.8	0.75	mutual_knn
P1642	P2228	0.629135	0.532821	0.638202	0.826617	0.833333	0.8	0.75	mutual_knn
P0093	P0563	0.628604	0.550756	0.592745	0.733035	1.0	0.777778	0.75	mutual_knn
P0288	P0680	0.628498	0.542944	0.587442	0.896799	0.888889	0.777778	0.75	mutual_knn
P0012	P0470	0.627708	0.555736	0.567187	0.891116	0.9	0.777778	0.75	mutual_knn
P1067	P1166	0.627667	0.546031	0.575722	0.804498	1.0	0.714286	0.666667	mutual_knn
P0356	P0546	0.627256	0.559112	0.55946	0.898444	0.9	0.777778	0.75	mutual_knn
P0057	P0488	0.627189	0.527284	0.578793	0.873343	1.0	0.777778	0.75	mutual_knn
P0158	P0579	0.625793	0.571078	0.600216	0.587328	1.0	0.777778	0.75	mutual_knn
P1066	P1793	0.625698	0.550447	0.593362	0.846061	0.857143	0.8	0.75	mutual_knn
P0332	P0605	0.625076	0.595143	0.595642	0.687866	0.8	0.777778	0.75	mutual_knn
P0053	P0571	0.625016	0.517958	0.578237	0.89552	1.0	0.777778	0.75	mutual_knn
P0197	P0676	0.62484	0.531654	0.576195	0.939274	0.9	0.777778	0.75	mutual_knn
P0366	P0678	0.624739	0.588896	0.593997	0.740589	0.777778	0.777778	0.75	mutual_knn
P0080	P0324	0.624731	0.53748	0.546115	0.917247	1.0	0.777778	0.75	mutual_knn
P0293	P0605	0.624685	0.551006	0.563349	0.895601	0.9	0.777778	0.75	mutual_knn
P0287	P0695	0.62433	0.552604	0.562634	0.898469	0.888889	0.777778	0.75	mutual_knn
P0086	P0553	0.623901	0.537196	0.576161	0.916179	0.888889	0.777778	0.75	mutual_knn
P0041	P0714	0.62379	0.561505	0.620836	0.738204	0.8	0.777778	0.75	mutual_knn
P0051	P0577	0.623401	0.554099	0.563011	0.881141	0.888889	0.777778	0.75	mutual_knn
P0106	P0692	0.6234	0.577792	0.615245	0.730579	0.75	0.777778	0.75	mutual_knn
P1187	P2073	0.622936	0.50661	0.617121	0.789693	1.0	0.8	0.75	mutual_knn
P0061	P0592	0.622689	0.537776	0.576877	0.898945	0.888889	0.777778	0.75	mutual_knn
P1155	P2125	0.622603	0.541839	0.607335	0.804941	0.857143	0.8	0.75	mutual_knn
P0262	P0527	0.622585	0.561685	0.570548	0.701347	1.0	0.777778	0.75	mutual_knn
P1540	P2252	0.622296	0.538247	0.597537	0.852328	0.857143	0.8	0.75	mutual_knn
P0326	P0675	0.621536	0.568413	0.585999	0.731501	0.875	0.777778	0.75	mutual_knn
P1770	P2011	0.621264	0.531692	0.557624	0.868336	1.0	0.8	0.75	mutual_knn
P0615	P0794	0.621262	0.540304	0.572149	0.90373	0.875	0.777778	0.75	mutual_knn
P0185	P0447	0.621119	0.552672	0.590832	0.767365	0.888889	0.777778	0.75	mutual_knn
