qac_root_join_key	qac_root	occurrence_count	surah_count	root_ids	branch_gap_count	branches_without_qnet_nodes	pos_counts	examples
قول	ق و ل	1722	84	root_001272	1	root_001272:B017	"{""V"": 1620, ""N"": 102}"	"[{""root_join_key"": ""قول"", ""surah"": 2, ""ayah"": 8, ""word_index"": 4, ""surface_ar"": ""يَقُولُ"", ""root_ar"": ""ق و ل"", ""pos"": ""V""}, {""root_join_key"": ""قول"", ""surah"": 2, ""ayah"": 11, ""word_index"": 2, ""surface_ar"": ""قِيلَ"", ""root_ar"": ""ق و ل"", ""pos"": ""V""}, {""root_join_key"": ""قول"", ""surah"": 2, ""ayah"": 11, ""word_index"": 8, ""surface_ar"": ""قَالُ"", ""root_ar"": ""ق و ل"", ""pos"": ""V""}, {""root_join_key"": ""قول"", ""surah"": 2, ""ayah"": 13, ""word_index"": 2, ""surface_ar"": ""قِيلَ"", ""root_ar"": ""ق و ل"", ""pos"": ""V""}, {""root_join_key"": ""قول"", ""surah"": 2, ""ayah"": 13, ""word_index"": 8, ""surface_ar"": ""قَالُ"", ""root_ar"": ""ق و ل"", ""pos"": ""V""}]"
علم	ع ل م	854	85	root_001040	1	root_001040:B003	"{""V"": 425, ""N"": 306, ""ADJ"": 123}"	"[{""root_join_key"": ""علم"", ""surah"": 1, ""ayah"": 2, ""word_index"": 4, ""surface_ar"": ""عَٰلَمِينَ"", ""root_ar"": ""ع ل م"", ""pos"": ""N""}, {""root_join_key"": ""علم"", ""surah"": 2, ""ayah"": 13, ""word_index"": 19, ""surface_ar"": ""يَعْلَمُ"", ""root_ar"": ""ع ل م"", ""pos"": ""V""}, {""root_join_key"": ""علم"", ""surah"": 2, ""ayah"": 22, ""word_index"": 23, ""surface_ar"": ""تَعْلَمُ"", ""root_ar"": ""ع ل م"", ""pos"": ""V""}, {""root_join_key"": ""علم"", ""surah"": 2, ""ayah"": 26, ""word_index"": 15, ""surface_ar"": ""يَعْلَمُ"", ""root_ar"": ""ع ل م"", ""pos"": ""V""}, {""root_join_key"": ""علم"", ""surah"": 2, ""ayah"": 29, ""word_index"": 19, ""surface_ar"": ""عَلِيمٌ"", ""root_ar"": ""ع ل م"", ""pos"": ""N""}]"
قوم	ق و م	660	79	root_001273	1	root_001273:B005	"{""N"": 536, ""V"": 97, ""ADJ"": 27}"	"[{""root_join_key"": ""قوم"", ""surah"": 1, ""ayah"": 6, ""word_index"": 3, ""surface_ar"": ""مُسْتَقِيمَ"", ""root_ar"": ""ق و م"", ""pos"": ""ADJ""}, {""root_join_key"": ""قوم"", ""surah"": 2, ""ayah"": 3, ""word_index"": 4, ""surface_ar"": ""يُقِيمُ"", ""root_ar"": ""ق و م"", ""pos"": ""V""}, {""root_join_key"": ""قوم"", ""surah"": 2, ""ayah"": 20, ""word_index"": 13, ""surface_ar"": ""قَامُ"", ""root_ar"": ""ق و م"", ""pos"": ""V""}, {""root_join_key"": ""قوم"", ""surah"": 2, ""ayah"": 43, ""word_index"": 1, ""surface_ar"": ""أَقِيمُ"", ""root_ar"": ""ق و م"", ""pos"": ""V""}, {""root_join_key"": ""قوم"", ""surah"": 2, ""ayah"": 54, ""word_index"": 4, ""surface_ar"": ""قَوْمِ"", ""root_ar"": ""ق و م"", ""pos"": ""N""}]"
بين	ب ي ن	523	71	root_000170	1	root_000170:B013	"{""LOC"": 243, ""N"": 156, ""ADJ"": 69, ""V"": 55}"	"[{""root_join_key"": ""بين"", ""surah"": 2, ""ayah"": 66, ""word_index"": 4, ""surface_ar"": ""بَيْنَ"", ""root_ar"": ""ب ي ن"", ""pos"": ""LOC""}, {""root_join_key"": ""بين"", ""surah"": 2, ""ayah"": 68, ""word_index"": 5, ""surface_ar"": ""يُبَيِّن"", ""root_ar"": ""ب ي ن"", ""pos"": ""V""}, {""root_join_key"": ""بين"", ""surah"": 2, ""ayah"": 68, ""word_index"": 19, ""surface_ar"": ""بَيْنَ"", ""root_ar"": ""ب ي ن"", ""pos"": ""LOC""}, {""root_join_key"": ""بين"", ""surah"": 2, ""ayah"": 69, ""word_index"": 5, ""surface_ar"": ""يُبَيِّن"", ""root_ar"": ""ب ي ن"", ""pos"": ""V""}, {""root_join_key"": ""بين"", ""surah"": 2, ""ayah"": 70, ""word_index"": 5, ""surface_ar"": ""يُبَيِّن"", ""root_ar"": ""ب ي ن"", ""pos"": ""V""}]"
يوم	ي و م	405	75	root_001700	2	root_001700:B004,root_001700:B005	"{""N"": 325, ""T"": 80}"	"[{""root_join_key"": ""يوم"", ""surah"": 1, ""ayah"": 4, ""word_index"": 2, ""surface_ar"": ""يَوْمِ"", ""root_ar"": ""ي و م"", ""pos"": ""N""}, {""root_join_key"": ""يوم"", ""surah"": 2, ""ayah"": 8, ""word_index"": 7, ""surface_ar"": ""يَوْمِ"", ""root_ar"": ""ي و م"", ""pos"": ""N""}, {""root_join_key"": ""يوم"", ""surah"": 2, ""ayah"": 48, ""word_index"": 2, ""surface_ar"": ""يَوْمًا"", ""root_ar"": ""ي و م"", ""pos"": ""N""}, {""root_join_key"": ""يوم"", ""surah"": 2, ""ayah"": 62, ""word_index"": 11, ""surface_ar"": ""يَوْمِ"", ""root_ar"": ""ي و م"", ""pos"": ""N""}, {""root_join_key"": ""يوم"", ""surah"": 2, ""ayah"": 80, ""word_index"": 6, ""surface_ar"": ""أَيَّامًا"", ""root_ar"": ""ي و م"", ""pos"": ""N""}]"
ظلم	ظ ل م	315	59	root_000967	2	root_000967:B001,root_000967:B002	"{""N"": 179, ""V"": 111, ""ADJ"": 25}"	"[{""root_join_key"": ""ظلم"", ""surah"": 2, ""ayah"": 17, ""word_index"": 15, ""surface_ar"": ""ظُلُمَٰتٍ"", ""root_ar"": ""ظ ل م"", ""pos"": ""N""}, {""root_join_key"": ""ظلم"", ""surah"": 2, ""ayah"": 19, ""word_index"": 6, ""surface_ar"": ""ظُلُمَٰتٌ"", ""root_ar"": ""ظ ل م"", ""pos"": ""N""}, {""root_join_key"": ""ظلم"", ""surah"": 2, ""ayah"": 20, ""word_index"": 11, ""surface_ar"": ""أَظْلَمَ"", ""root_ar"": ""ظ ل م"", ""pos"": ""V""}, {""root_join_key"": ""ظلم"", ""surah"": 2, ""ayah"": 35, ""word_index"": 18, ""surface_ar"": ""ظَّٰلِمِينَ"", ""root_ar"": ""ظ ل م"", ""pos"": ""N""}, {""root_join_key"": ""ظلم"", ""surah"": 2, ""ayah"": 51, ""word_index"": 12, ""surface_ar"": ""ظَٰلِمُونَ"", ""root_ar"": ""ظ ل م"", ""pos"": ""N""}]"
نزل	ن ز ل	293	60	root_001492	1	root_001492:B008	"{""V"": 258, ""N"": 35}"	"[{""root_join_key"": ""نزل"", ""surah"": 2, ""ayah"": 4, ""word_index"": 4, ""surface_ar"": ""أُنزِلَ"", ""root_ar"": ""ن ز ل"", ""pos"": ""V""}, {""root_join_key"": ""نزل"", ""surah"": 2, ""ayah"": 4, ""word_index"": 7, ""surface_ar"": ""أُنزِلَ"", ""root_ar"": ""ن ز ل"", ""pos"": ""V""}, {""root_join_key"": ""نزل"", ""surah"": 2, ""ayah"": 22, ""word_index"": 8, ""surface_ar"": ""أَنزَلَ"", ""root_ar"": ""ن ز ل"", ""pos"": ""V""}, {""root_join_key"": ""نزل"", ""surah"": 2, ""ayah"": 23, ""word_index"": 6, ""surface_ar"": ""نَزَّلْ"", ""root_ar"": ""ن ز ل"", ""pos"": ""V""}, {""root_join_key"": ""نزل"", ""surah"": 2, ""ayah"": 41, ""word_index"": 3, ""surface_ar"": ""أَنزَلْ"", ""root_ar"": ""ن ز ل"", ""pos"": ""V""}]"
ذكر	ذ ك ر	292	71	root_000516	2	root_000516:B005,root_000516:B006	"{""V"": 154, ""N"": 137, ""ADJ"": 1}"	"[{""root_join_key"": ""ذكر"", ""surah"": 2, ""ayah"": 40, ""word_index"": 3, ""surface_ar"": ""ٱذْكُرُ"", ""root_ar"": ""ذ ك ر"", ""pos"": ""V""}, {""root_join_key"": ""ذكر"", ""surah"": 2, ""ayah"": 47, ""word_index"": 3, ""surface_ar"": ""ٱذْكُرُ"", ""root_ar"": ""ذ ك ر"", ""pos"": ""V""}, {""root_join_key"": ""ذكر"", ""surah"": 2, ""ayah"": 63, ""word_index"": 11, ""surface_ar"": ""ٱذْكُرُ"", ""root_ar"": ""ذ ك ر"", ""pos"": ""V""}, {""root_join_key"": ""ذكر"", ""surah"": 2, ""ayah"": 114, ""word_index"": 8, ""surface_ar"": ""يُذْكَرَ"", ""root_ar"": ""ذ ك ر"", ""pos"": ""V""}, {""root_join_key"": ""ذكر"", ""surah"": 2, ""ayah"": 122, ""word_index"": 3, ""surface_ar"": ""ٱذْكُرُ"", ""root_ar"": ""ذ ك ر"", ""pos"": ""V""}]"
حقق	ح ق ق	287	59	root_000347	1	root_000347:B006	"{""N"": 251, ""V"": 26, ""ADJ"": 10}"	"[{""root_join_key"": ""حقق"", ""surah"": 2, ""ayah"": 26, ""word_index"": 17, ""surface_ar"": ""حَقُّ"", ""root_ar"": ""ح ق ق"", ""pos"": ""N""}, {""root_join_key"": ""حقق"", ""surah"": 2, ""ayah"": 42, ""word_index"": 3, ""surface_ar"": ""حَقَّ"", ""root_ar"": ""ح ق ق"", ""pos"": ""N""}, {""root_join_key"": ""حقق"", ""surah"": 2, ""ayah"": 42, ""word_index"": 6, ""surface_ar"": ""حَقَّ"", ""root_ar"": ""ح ق ق"", ""pos"": ""N""}, {""root_join_key"": ""حقق"", ""surah"": 2, ""ayah"": 61, ""word_index"": 54, ""surface_ar"": ""حَقِّ"", ""root_ar"": ""ح ق ق"", ""pos"": ""N""}, {""root_join_key"": ""حقق"", ""surah"": 2, ""ayah"": 71, ""word_index"": 20, ""surface_ar"": ""حَقِّ"", ""root_ar"": ""ح ق ق"", ""pos"": ""N""}]"
عبد	ع ب د	275	57	root_000973	1	root_000973:B002	"{""N"": 150, ""V"": 123, ""ADJ"": 2}"	"[{""root_join_key"": ""عبد"", ""surah"": 1, ""ayah"": 5, ""word_index"": 2, ""surface_ar"": ""نَعْبُدُ"", ""root_ar"": ""ع ب د"", ""pos"": ""V""}, {""root_join_key"": ""عبد"", ""surah"": 2, ""ayah"": 21, ""word_index"": 3, ""surface_ar"": ""ٱعْبُدُ"", ""root_ar"": ""ع ب د"", ""pos"": ""V""}, {""root_join_key"": ""عبد"", ""surah"": 2, ""ayah"": 23, ""word_index"": 8, ""surface_ar"": ""عَبْدِ"", ""root_ar"": ""ع ب د"", ""pos"": ""N""}, {""root_join_key"": ""عبد"", ""surah"": 2, ""ayah"": 83, ""word_index"": 7, ""surface_ar"": ""تَعْبُدُ"", ""root_ar"": ""ع ب د"", ""pos"": ""V""}, {""root_join_key"": ""عبد"", ""surah"": 2, ""ayah"": 90, ""word_index"": 20, ""surface_ar"": ""عِبَادِ"", ""root_ar"": ""ع ب د"", ""pos"": ""N""}]"
