surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
18	83	1	1	18:83:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
18	83	1	2	18:83:1:2	يَسْـَٔلُ	سَأَلَ	س ء ل	س ء ل	V	STEM	STEM|POS:V|IMPF|LEM:sa>ala|ROOT:sAl|3MP	IMPF						
18	83	1	3	18:83:1:3	ونَ				PRON	SUFFIX	SUFFIX|PRON:3MP							
18	83	1	4	18:83:1:4	كَ				PRON	SUFFIX	SUFFIX|PRON:2MS							
18	83	2	1	18:83:2:1	عَن	عَن			P	STEM	STEM|POS:P|LEM:Ean							
18	83	3	1	18:83:3:1	ذِى	ذُو			N	STEM	STEM|POS:N|LEM:*uw|MS|GEN							
18	83	4	1	18:83:4:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
18	83	4	2	18:83:4:2	قَرْنَيْنِ	قَرْن	ق ر ن	ق ر ن	N	STEM	STEM|POS:N|LEM:qaron|ROOT:qrn|MD|GEN							
18	83	5	1	18:83:5:1	قُلْ	قَالَ	ق و ل	ق و ل	V	STEM	STEM|POS:V|IMPV|LEM:qaAla|ROOT:qwl|2MS	IMPV						
18	83	6	1	18:83:6:1	سَ				FUT	PREFIX	PREFIX|sa+							
18	83	6	2	18:83:6:2	أَتْلُوا۟	تَلَىٰ	ت ل و	ت ل و	V	STEM	STEM|POS:V|IMPF|LEM:talaY`|ROOT:tlw|1S	IMPF						
18	83	7	1	18:83:7:1	عَلَيْ	عَلَىٰ			P	STEM	STEM|POS:P|LEM:EalaY`							
18	83	7	2	18:83:7:2	كُم				PRON	SUFFIX	SUFFIX|PRON:2MP							
18	83	8	1	18:83:8:1	مِّنْ	مِن			P	STEM	STEM|POS:P|LEM:min							
18	83	8	2	18:83:8:2	هُ				PRON	SUFFIX	SUFFIX|PRON:3MS							
18	83	9	1	18:83:9:1	ذِكْرًا	ذِكْر	ذ ك ر	ذ ك ر	N	STEM	STEM|POS:N|VN|LEM:*ikor|ROOT:*kr|M|INDEF|ACC							
18	84	1	1	18:84:1:1	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
18	84	1	2	18:84:1:2	ا				PRON	SUFFIX	SUFFIX|PRON:1P							
18	84	2	1	18:84:2:1	مَكَّ	مَكَّ	م ك ن	م ك ن	V	STEM	STEM|POS:V|PERF|(II)|LEM:mak~a|ROOT:mkn|1P	PERF			II			
18	84	2	2	18:84:2:2	نَّا				PRON	SUFFIX	SUFFIX|PRON:1P							
18	84	3	1	18:84:3:1	لَ				P	PREFIX	PREFIX|l:P+							
18	84	3	2	18:84:3:2	هُۥ				PRON	STEM	STEM|POS:PRON|3MS							
18	84	4	1	18:84:4:1	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY							
18	84	5	1	18:84:5:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
18	84	5	2	18:84:5:2	أَرْضِ	أَرْض	ء ر ض	ء ر ض	N	STEM	STEM|POS:N|LEM:>aroD|ROOT:ArD|F|GEN							
18	84	6	1	18:84:6:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
18	84	6	2	18:84:6:2	ءَاتَيْ	آتَى	ء ت ي	ء ت ي	V	STEM	STEM|POS:V|PERF|(IV)|LEM:A^taY|ROOT:Aty|1P	PERF			IV			
18	84	6	3	18:84:6:3	نَٰ				PRON	SUFFIX	SUFFIX|PRON:1P							
18	84	6	4	18:84:6:4	هُ				PRON	SUFFIX	SUFFIX|PRON:3MS							
18	84	7	1	18:84:7:1	مِن	مِن			P	STEM	STEM|POS:P|LEM:min							
18	84	8	1	18:84:8:1	كُلِّ	كُلّ	ك ل ل	ك ل ل	N	STEM	STEM|POS:N|LEM:kul~|ROOT:kll|M|GEN							
18	84	9	1	18:84:9:1	شَىْءٍ	شَىْء	ش ي ء	ش ي ء	N	STEM	STEM|POS:N|LEM:$aYo'|ROOT:$yA|M|INDEF|GEN							
18	84	10	1	18:84:10:1	سَبَبًا	سَبَب	س ب ب	س ب ب	N	STEM	STEM|POS:N|LEM:sabab|ROOT:sbb|M|INDEF|ACC							
18	85	1	1	18:85:1:1	فَ				REM	PREFIX	PREFIX|f:REM+							
18	85	1	2	18:85:1:2	أَتْبَعَ	أَتْبَعَ	ت ب ع	ت ب ع	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>atobaEa|ROOT:tbE|3MS	PERF			IV			
