surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
98	1	1	1	98:1:1:1	لَمْ	لَم			NEG	STEM	STEM|POS:NEG|LEM:lam							
98	1	2	1	98:1:2:1	يَكُنِ	كَانَ	ك و ن	ك و ن	V	STEM	STEM|POS:V|IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS|MOOD:JUS	IMPF	JUS					
98	1	3	1	98:1:3:1	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP							
98	1	4	1	98:1:4:1	كَفَرُ	كَفَرَ	ك ف ر	ك ف ر	V	STEM	STEM|POS:V|PERF|LEM:kafara|ROOT:kfr|3MP	PERF						
98	1	4	2	98:1:4:2	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	1	5	1	98:1:5:1	مِنْ	مِن			P	STEM	STEM|POS:P|LEM:min							
98	1	6	1	98:1:6:1	أَهْلِ	أَهْل	ء ه ل	ء ه ل	N	STEM	STEM|POS:N|LEM:>ahol|ROOT:Ahl|M|GEN							
98	1	7	1	98:1:7:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	1	7	2	98:1:7:2	كِتَٰبِ	كِتَٰب	ك ت ب	ك ت ب	N	STEM	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN							
98	1	8	1	98:1:8:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
98	1	8	2	98:1:8:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	1	8	3	98:1:8:3	مُشْرِكِينَ	مُشْرِك	ش ر ك	ش ر ك	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:mu$orik|ROOT:$rk|MP|GEN			ACT	IV			
98	1	9	1	98:1:9:1	مُنفَكِّينَ	مُنفَكِّين	ف ك ك	ف ك ك	N	STEM	STEM|POS:N|ACT|PCPL|(VII)|LEM:munfak~iyn|ROOT:fkk|MP|ACC			ACT	VII			
98	1	10	1	98:1:10:1	حَتَّىٰ	حَتَّىٰ			P	STEM	STEM|POS:P|LEM:Hat~aY`							
98	1	11	1	98:1:11:1	تَأْتِيَ	أَتَى	ء ت ي	ء ت ي	V	STEM	STEM|POS:V|IMPF|LEM:>ataY|ROOT:Aty|3FS|MOOD:SUBJ	IMPF	SUBJ					
98	1	11	2	98:1:11:2	هُمُ				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	1	12	1	98:1:12:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	1	12	2	98:1:12:2	بَيِّنَةُ	بَيِّنَة	ب ي ن	ب ي ن	N	STEM	STEM|POS:N|LEM:bay~inap|ROOT:byn|FS|NOM							
98	2	1	1	98:2:1:1	رَسُولٌ	رَسُول	ر س ل	ر س ل	N	STEM	STEM|POS:N|LEM:rasuwl|ROOT:rsl|M|INDEF|NOM							
98	2	2	1	98:2:2:1	مِّنَ	مِن			P	STEM	STEM|POS:P|LEM:min							
98	2	3	1	98:2:3:1	ٱللَّهِ	ٱللَّه	ء ل ه	ء ل ه	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN							
98	2	4	1	98:2:4:1	يَتْلُوا۟	تَلَىٰ	ت ل و	ت ل و	V	STEM	STEM|POS:V|IMPF|LEM:talaY`|ROOT:tlw|3MS	IMPF						
98	2	5	1	98:2:5:1	صُحُفًا	صُحُف	ص ح ف	ص ح ف	N	STEM	STEM|POS:N|LEM:SuHuf|ROOT:SHf|P|INDEF|ACC							
98	2	6	1	98:2:6:1	مُّطَهَّرَةً	مُّطَهَّرَة	ط ه ر	ط ه ر	ADJ	STEM	STEM|POS:ADJ|PASS|PCPL|(II)|LEM:m~uTah~arap|ROOT:Thr|F|INDEF|ACC			PASS	II			
98	3	1	1	98:3:1:1	فِي	فِى			P	STEM	STEM|POS:P|LEM:fiY							
98	3	1	2	98:3:1:2	هَا				PRON	SUFFIX	SUFFIX|PRON:3FS							
98	3	2	1	98:3:2:1	كُتُبٌ	كِتَٰب	ك ت ب	ك ت ب	N	STEM	STEM|POS:N|LEM:kita`b|ROOT:ktb|MP|INDEF|NOM							
98	3	3	1	98:3:3:1	قَيِّمَةٌ	قَيِّمَة	ق و م	ق و م	ADJ	STEM	STEM|POS:ADJ|LEM:qay~imap|ROOT:qwm|F|INDEF|NOM							
98	4	1	1	98:4:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
98	4	1	2	98:4:1:2	مَا	مَا			NEG	STEM	STEM|POS:NEG|LEM:maA							
98	4	2	1	98:4:2:1	تَفَرَّقَ	تَفَرَّقَ	ف ر ق	ف ر ق	V	STEM	STEM|POS:V|PERF|(V)|LEM:tafar~aqa|ROOT:frq|3MS	PERF			V			
98	4	3	1	98:4:3:1	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP							
98	4	4	1	98:4:4:1	أُوتُ	آتَى	ء ت ي	ء ت ي	V	STEM	STEM|POS:V|PERF|PASS|(IV)|LEM:A^taY|ROOT:Aty|3MP	PERF		PASS	IV			
98	4	4	2	98:4:4:2	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	4	5	1	98:4:5:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	4	5	2	98:4:5:2	كِتَٰبَ	كِتَٰب	ك ت ب	ك ت ب	N	STEM	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|ACC							
