surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
1	1	1	1	1:1:1:1	بِ				P	PREFIX	PREFIX|bi+							
1	1	1	2	1:1:1:2	سْمِ	ٱسْم	س م و	س م و	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN							
1	1	2	1	1:1:2:1	ٱللَّهِ	ٱللَّه	ء ل ه	ء ل ه	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN							
1	1	3	1	1:1:3:1	ٱل				DET	PREFIX	PREFIX|Al+							
1	1	3	2	1:1:3:2	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ر ح م	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN							
1	1	4	1	1:1:4:1	ٱل				DET	PREFIX	PREFIX|Al+							
1	1	4	2	1:1:4:2	رَّحِيمِ	رَّحِيم	ر ح م	ر ح م	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN							
1	2	1	1	1:2:1:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
1	2	1	2	1:2:1:2	حَمْدُ	حَمْد	ح م د	ح م د	N	STEM	STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|NOM							
1	2	2	1	1:2:2:1	لِ				P	PREFIX	PREFIX|l:P+							
1	2	2	2	1:2:2:2	لَّهِ	ٱللَّه	ء ل ه	ء ل ه	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN							
1	2	3	1	1:2:3:1	رَبِّ	رَبّ	ر ب ب	ر ب ب	N	STEM	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN							
1	2	4	1	1:2:4:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
1	2	4	2	1:2:4:2	عَٰلَمِينَ	عَٰلَمِين	ع ل م	ع ل م	N	STEM	STEM|POS:N|LEM:Ea`lamiyn|ROOT:Elm|MP|GEN							
1	3	1	1	1:3:1:1	ٱل				DET	PREFIX	PREFIX|Al+							
1	3	1	2	1:3:1:2	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ر ح م	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN							
1	3	2	1	1:3:2:1	ٱل				DET	PREFIX	PREFIX|Al+							
1	3	2	2	1:3:2:2	رَّحِيمِ	رَّحِيم	ر ح م	ر ح م	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN							
1	4	1	1	1:4:1:1	مَٰلِكِ	مَٰلِك	م ل ك	م ل ك	N	STEM	STEM|POS:N|ACT|PCPL|LEM:ma`lik|ROOT:mlk|M|GEN			ACT				
1	4	2	1	1:4:2:1	يَوْمِ	يَوْم	ي و م	ي و م	N	STEM	STEM|POS:N|LEM:yawom|ROOT:ywm|M|GEN							
1	4	3	1	1:4:3:1	ٱل				DET	PREFIX	PREFIX|Al+							
1	4	3	2	1:4:3:2	دِّينِ	دِين	د ي ن	د ي ن	N	STEM	STEM|POS:N|LEM:diyn|ROOT:dyn|M|GEN							
1	5	1	1	1:5:1:1	إِيَّاكَ	إِيَّا			PRON	STEM	STEM|POS:PRON|LEM:<iy~aA|2MS							
1	5	2	1	1:5:2:1	نَعْبُدُ	عَبَدَ	ع ب د	ع ب د	V	STEM	STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|1P	IMPF						
1	5	3	1	1:5:3:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
1	5	3	2	1:5:3:2	إِيَّاكَ	إِيَّا			PRON	STEM	STEM|POS:PRON|LEM:<iy~aA|2MS							
1	5	4	1	1:5:4:1	نَسْتَعِينُ	ٱسْتَعِينُ	ع و ن	ع و ن	V	STEM	STEM|POS:V|IMPF|(X)|LEM:{sotaEiynu|ROOT:Ewn|1P	IMPF			X			
1	6	1	1	1:6:1:1	ٱهْدِ	هَدَى	ه د ي	ه د ي	V	STEM	STEM|POS:V|IMPV|LEM:hadaY|ROOT:hdy|2MS	IMPV						
1	6	1	2	1:6:1:2	نَا				PRON	SUFFIX	SUFFIX|PRON:1P							
1	6	2	1	1:6:2:1	ٱل				DET	PREFIX	PREFIX|Al+							
1	6	2	2	1:6:2:2	صِّرَٰطَ	صِرَٰط	ص ر ط	ص ر ط	N	STEM	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC							
1	6	3	1	1:6:3:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
1	6	3	2	1:6:3:2	مُسْتَقِيمَ	مُّسْتَقِيم	ق و م	ق و م	ADJ	STEM	STEM|POS:ADJ|ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC			ACT	X			
1	7	1	1	1:7:1:1	صِرَٰطَ	صِرَٰط	ص ر ط	ص ر ط	N	STEM	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC							
